Rk,Date,,Opponent,Result,1-19,20-29,30-39,40-49,50+,LNG,FG%,FG,XP,PTS
1,2023-09-02,,Portland State,W (81-7),0-0,0-0,0-0,1-1,0-0,41,100,1-1,6-6,9
2,2023-09-09,@,Texas Tech,W (38-30),0-0,2-2,1-1,0-0,0-0,34,100,3-3,3-3,12
3,2023-09-16,,Hawaii,W (55-10),0-0,1-1,0-0,1-1,0-0,43,100,2-2,7-7,13
4,2023-09-23,,Colorado,W (42-6),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-4,4
5,2023-09-30,@,Stanford,W (42-6),0-0,0-0,0-1,0-0,0-0,0,0,0-1,6-6,6
6,2023-10-14,@,Washington,L (33-36),0-0,0-0,0-0,1-2,0-0,45,50,1-2,2-2,5
7,2023-10-21,,Washington State,W (38-24),0-0,1-1,0-0,0-1,0-0,27,50,1-2,5-5,8
8,2023-10-28,@,Utah,W (35-6),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
9,2023-11-04,,California,W (63-19),0-0,0-0,0-0,0-0,0-1,0,0,0-1,9-9,9
10,2023-11-11,,Southern California,W (36-27),0-0,0-0,0-1,0-1,0-0,33,50,1-2,3-3,6
11,2023-11-18,@,Arizona State,W (49-13),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
12,2023-11-24,,Oregon State,W (31-7),0-0,1-1,0-0,0-0,0-0,25,50,1-2,4-4,7
13,2023-12-01,N,Washington,L (31-34),0-0,0-0,0-0,0-0,0-0,36,100,1-1,4-4,7
14,2024-01-01,N,Liberty*,W (45-6),0-0,0-0,1-1,0-0,0-0,37,100,1-1,5-5,8
1,2022-09-03,N,Georgia,L (3-49),0-0,0-0,1-1,0-0,0-0,35,100,1-1,0-0,3
2,2022-09-10,,Eastern Washington,W (70-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,10-10,10
3,2022-09-17,,Brigham Young,W (41-20),0-0,2-2,0-0,0-0,0-0,28,100,2-2,5-5,11
4,2022-09-24,@,Washington State,W (44-41),0-0,3-3,0-0,0-0,0-0,29,100,3-3,3-3,12
5,2022-10-01,,Stanford,W (45-27),0-0,0-0,1-1,0-0,0-0,38,100,1-1,6-6,9
6,2022-10-08,@,Arizona,W (49-22),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
7,2022-10-22,,UCLA,W (45-30),0-0,0-0,0-0,1-1,0-0,44,100,1-1,6-6,9
8,2022-10-29,@,California,W (42-24),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
9,2022-11-05,@,Colorado,W (49-10),0-0,0-0,0-0,0-0,0-0,0,0,0-0,7-7,7
10,2022-11-12,,Washington,L (34-37),0-0,1-1,0-0,1-1,0-1,43,66.7,2-3,4-4,10
11,2022-11-19,,Utah,W (20-17),0-0,0-0,1-1,1-1,0-0,41,100,2-2,2-2,8
12,2022-11-26,@,Oregon State,L (34-38),0-0,1-1,0-0,1-1,0-0,42,100,2-2,4-4,10
13,2022-12-28,N,North Carolina*,W (28-27),0,0,0,0-1,0-0,0,0,0-1,4-4,4
1,2021-09-04,,Fresno State,W (31-24),0-0,1-1,0-0,0-0,0-0,25,100,1-1,4-4,7
2,2021-09-11,@,Ohio State,W (35-28),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
3,2021-09-18,,Stony Brook,W (48-7),0-0,0-0,1-1,1-1,0-0,40,100,2-2,6-6,12
4,2021-09-25,,Arizona,W (41-19),0-0,1-1,0-0,1-1,0-0,43,100,2-2,5-5,11
5,2021-10-02,@,Stanford,L (24-31),0-0,1-1,0-0,0-0,0-0,22,100,1-1,3-3,6
