Rk,Date,raw_location,Opponent,Result,Punts,Yds,Avg
1,2023-09-02,H,Portland State,W (81-7),1,58,58
2,2023-09-09,@,Texas Tech,W (38-30),2,111,55.5
3,2023-09-16,H,Hawaii,W (55-10),2,102,51
4,2023-09-23,H,Colorado,W (42-6),2,96,48
5,2023-09-30,@,Stanford,W (42-6),2,101,50.5
6,2023-10-14,@,Washington,L (33-36),2,90,45
7,2023-10-21,H,Washington State,W (38-24),2,79,39.5
8,2023-10-28,@,Utah,W (35-6),5,250,50
9,2023-11-04,H,California,W (63-19),2,109,54.5
10,2023-11-11,H,Southern California,W (36-27),0,0,0
11,2023-11-18,@,Arizona State,W (49-13),0,0,0
12,2023-11-24,H,Oregon State,W (31-7),2,69,34.5
13,2023-12-01,N,Washington,L (31-34),4,200,50
14,2024-01-01,N,Liberty*,W (45-6),1,42,42
1,2022-09-03,N,Georgia,L (3-49),3,122,40.7
2,2022-09-10,H,Eastern Washington,W (70-14),1,39,39
3,2022-09-17,H,Brigham Young,W (41-20),2,68,34
4,2022-09-24,@,Washington State,W (44-41),1,32,32
5,2022-10-01,H,Stanford,W (45-27),5,217,43.4
6,2022-10-08,@,Arizona,W (49-22),2,99,49.5
7,2022-10-22,H,UCLA,W (45-30),1,37,37
8,2022-10-29,@,California,W (42-24),2,72,36
9,2022-11-05,@,Colorado,W (49-10),2,65,32.5
10,2022-11-12,H,Washington,L (34-37),4,153,38.3
11,2022-11-19,H,Utah,W (20-17),1,34,34
12,2022-11-26,@,Oregon State,L (34-38),2,87,43.5
13,2022-12-28,N,North Carolina*,W (28-27),5,234,46.8
1,2021-09-04,H,Fresno State,W (31-24),7,273,39
2,2021-09-11,@,Ohio State,W (35-28),3,138,46
3,2021-09-18,H,Stony Brook,W (48-7),2,98,49
4,2021-09-25,H,Arizona,W (41-19),5,214,42.8
5,2021-10-02,@,Stanford,L (24-31),2,103,51.5
6,2021-10-15,H,California,W (24-17),0,0,0
7,2021-10-23,@,UCLA,W (34-31),0,0,0
8,2021-10-30,H,Colorado,W (52-29),6,227,37.8
9,2021-11-06,@,Washington,W (26-16),3,122,40.7
10,2021-11-13,H,Washington State,W (38-24),3,130,43.3
11,2021-11-20,@,Utah,L (7-38),1,36,36
12,2021-11-27,H,Oregon State,W (38-29),4,178,44.5
13,2021-12-03,N,Utah,L (10-38),3,144,48
14,2021-12-29,N,Oklahoma*,L (32-47),1,51,51
1,2020-11-07,H,Stanford,W (35-14),1,44,44
2,2020-11-14,@,Washington State,W (43-29),6,222,37
3,2020-11-21,H,UCLA,W (38-35),3,129,43
4,2020-11-27,@,Oregon State,L (38-41),6,289,48.2
5,2020-12-05,@,California,L (17-21),5,214,42.8
6,2020-12-18,@,Southern California,W (31-24),3,142,47.3
7,2021-01-02,N,Iowa State*,L (17-34),7,342,48.9
1,2019-08-31,N,Auburn,L (21-27),1,45,45
2,2019-09-07,H,Nevada,W (77-6),3,127,42.3
3,2019-09-14,H,Montana,W (35-3),6,274,45.7
4,2019-09-21,@,Stanford,W (21-6),4,165,41.3
5,2019-10-05,H,California,W (17-7),2,97,48.5
6,2019-10-11,H,Colorado,W (45-3),5,205,41
7,2019-10-19,@,Washington,W (35-31),4,144,36
8,2019-10-26,H,Washington State,W (37-35),2,95,47.5
9,2019-11-02,@,Southern California,W (56-24),4,164,41
10,2019-11-16,H,Arizona,W (34-6),5,241,48.2
11,2019-11-23,@,Arizona State,L (28-31),6,216,36
12,2019-11-30,H,Oregon State,W (24-10),6,301,50.2
13,2019-12-06,N,Utah,W (37-15),6,269,44.8
14,2020-01-01,N,Wisconsin*,W (28-27),3,124,41.3
1,2018-09-01,H,Bowling Green State,W (58-24),2,97,48.5
2,2018-09-08,H,Portland State,W (62-14),3,126,42
3,2018-09-15,H,San Jose State,W (35-22),3,100,33.3
