Rk,Date,,Opponent,,1-19,20-29,30-39,40-49,50+,LNG,FG%,FG,XP,PTS
1,2023-09-02,,Coastal Carolina,W (27-13),0-0,0-0,1-1,1-1,0-0,47,100,2-2,3-3,9
2,2023-09-09,@,San Diego State,W (35-10),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
3,2023-09-16,,North Carolina Central,W (59-7),0-0,1-1,0-0,0-0,0-0,24,100,1-1,8-8,11
4,2023-09-23,@,Utah,L (7-14),0-0,0-0,0-0,0-0,0-0,0,0,0-0,1-1,1
5,2023-10-07,,Washington State,W (25-17),0-0,0-0,2-3,0-1,0-0,37,50,2-4,1-2,7
6,2023-10-14,@,Oregon State,L (24-36),0-0,0-0,1-1,0-0,0-0,36,100,1-1,3-3,6
7,2023-10-21,@,Stanford,W (42-7),0-0,0-0,0-0,0-2,0-0,0,0,0-2,6-6,6
8,2023-10-28,,Colorado,W (28-16),0-0,0-1,0-0,0-0,0-0,0,0,0-1,4-4,4
9,2023-11-04,@,Arizona,L (10-27),0-0,1-1,0-0,0-2,0-0,1-3,33.3,29,1-1,4
10,2023-11-11,,Arizona State,L (7-17),0-0,0-0,0-0,0-0,0-0,0-0,0,0,1-1,1
11,2023-11-18,@,Southern California,W (38-20),0-0,0-0,1-2,0-0,0-0,1-2,50,35,5-5,8
12,2023-11-25,,California,L (7-33),0-0,0-1,0-0,0-0,0-0,0-1,0,0,1-1,1
13,2023-12-16,N,Boise State*,W (35-22),0-0,0-0,0-0,0-0,0-0,0-0,0,0,5-5,5
1,2022-09-03,,Bowling Green State,W (45-17),0-0,1-2,0-0,0-1,0-0,24,33.3,1-3,6-6,9
2,2022-09-10,,Alabama State,W (45-7),1-1,0-0,0-0,0-0,0-0,19,100,1-1,5-5,8
3,2022-09-17,,South Alabama,W (32-31),0-0,2-2,1-1,1-1,0-0,49,100,4-4,2-2,14
4,2022-09-24,@,Colorado,W (45-17),0-0,0-0,0-0,1-1,0-0,44,100,1-1,5-5,8
5,2022-09-30,,Washington,W (40-32),0-0,1-1,0-0,0-0,0-0,24,100,1-1,5-5,8
6,2022-10-08,,Utah,W (42-32),0-0,0-1,0-0,0-0,0-0,0,0,0-1,6-6,6
7,2022-10-22,@,Oregon,L (30-45),0-0,0-0,1-1,2-2,0-0,47,100,3-3,3-3,12
8,2022-10-29,,Stanford,W (38-13),0-0,0-0,1-1,0-1,0-0,31,50,1-2,5-5,8
9,2022-11-05,@,Arizona State,W (50-36),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
10,2022-11-12,,Arizona,L (28-34),0-0,0-0,0-0,0-1,0-0,0,0,0-1,4-4,4
11,2022-11-19,,Southern California,L (45-48),0-0,0-0,0-0,1-1,0-0,46,100,1-1,6-6,9
12,2022-11-25,@,California,W (35-28),0-0,2-2,0-1,0-0,0-0,26,66.7,2-3,3-3,9
13,2022-12-30,N,Pittsburgh*,L (35-37),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
1,2021-08-28,,Hawaii,W (44-10),0-0,1-1,0-0,0-0,0-0,27,100,1-1,5-6,8
2,2021-09-04,,Louisiana State,W (38-27),0-0,0-0,0-0,1-1,0-0,43,100,1-1,5-5,8
3,2021-09-18,,Fresno State,L (37-40),0-0,0-0,1-1,0-0,0-0,39,100,1-1,4-4,7
4,2021-09-25,@,Stanford,W (35-24),0-0,0-0,0-0,0-0,0-1,0,0,0-1,5-5,5
5,2021-10-02,,Arizona State,L (23-42),0-0,2-2,0-0,1-2,0-0,48,75,3-4,2-2,11
6,2021-10-09,@,Arizona,W (34-16),0-0,1-1,0-0,1-1,0-0,43,100,2-2,4-4,10
7,2021-10-16,@,Washington,W (24-17),0-0,0-0,1-1,0-0,0-1,39,50,1-2,3-3,6
8,2021-10-23,,Oregon,L (31-34),0-0,0-0,1-2,0-0,0-0,37,50,1-2,4-4,7
9,2021-10-30,@,Utah,L (24-44),0-0,1-1,0-0,0-0,0-1,28,50,1-2,3-3,6
10,2021-11-13,,Colorado,W (44-20),0-0,0-0,0-0,1-2,0-0,41,50,1-2,5-6,8
11,2021-11-20,@,Southern California,W (62-33),0-0,0-0,0-0,0-1,0-0,0,0,0-1,8-8,8
12,2021-11-27,,California,W (42-14),0-0,0-0,0-0,2-2,0-0,46,100,2-2,4-4,10
1,2020-11-07,@,Colorado,L (42-48),0-0,0-0,0-0,0-0,0-0,0,0,0-0,6-6,6
2,2020-11-15,,California,W (34-10),0-0,0-0,0-0,0-0,0-0,0,0,0-0,4-5,4
3,2020-11-21,@,Oregon,L (35-38),0-0,0-0,0-0,0-0,0-0,0,0,0-0,5-5,5
4,2020-11-28,,Arizona,W (27-10),0-0,0-0,2-2,0-0,0-0,31,100,2-2,3-3,9
5,2020-12-05,@,Arizona State,W (25-18),0-0,0-0,0-0,1-1,0-0,44,100,1-1,2-2,5
6,2020-12-12,,Southern California,L (38-43),0-0,0-0,0-0,1-1,0-0,43,100,1-1,5-5,8
7,2020-12-19,,Stanford,L (47-48),0-0,0-0,2-3,0-0,0-0,31,66.7,2-3,5-5,11
1,2019-08-29,@,Cincinnati,L (14-24),0-0,0-0,0-0,0-0,0-0,0,0,0-0,2-2,2
