Rk,Date,raw_location,Opponent,Result,Punts,Yds,Avg
1,2023-09-02,H,Coastal Carolina,W (27-13),2,97,48.5
2,2023-09-09,@,San Diego State,W (35-10),5,209,41.8
3,2023-09-16,H,North Carolina Central,W (59-7),1,32,32
4,2023-09-23,@,Utah,L (7-14),8,331,41.4
5,2023-10-07,H,Washington State,W (25-17),7,318,45.4
6,2023-10-14,@,Oregon State,L (24-36),2,88,44
7,2023-10-21,@,Stanford,W (42-7),3,129,43
8,2023-10-28,H,Colorado,W (28-16),3,139,46.3
9,2023-11-04,@,Arizona,L (10-27),3,127,42.3
10,2023-11-11,H,Arizona State,L (7-17),4,180,45
11,2023-11-18,@,Southern California,W (38-20),4,154,38.5
12,2023-11-25,H,California,L (7-33),2,73,36.5
13,2023-12-16,N,Boise State*,W (35-22),4,141,35.3
1,2022-09-03,H,Bowling Green State,W (45-17),1,28,28
2,2022-09-10,H,Alabama State,W (45-7),2,73,36.5
3,2022-09-17,H,South Alabama,W (32-31),1,46,46
4,2022-09-24,@,Colorado,W (45-17),3,139,46.3
5,2022-09-30,H,Washington,W (40-32),1,49,49
6,2022-10-08,H,Utah,W (42-32),2,98,49
7,2022-10-22,@,Oregon,L (30-45),0,0,0
8,2022-10-29,H,Stanford,W (38-13),3,139,46.3
9,2022-11-05,@,Arizona State,W (50-36),2,78,39
10,2022-11-12,H,Arizona,L (28-34),2,82,41
11,2022-11-19,H,Southern California,L (45-48),2,92,46
12,2022-11-25,@,California,W (35-28),3,130,43.3
13,2022-12-30,N,Pittsburgh*,L (35-37),3,109,36.3
1,2021-08-28,H,Hawaii,W (44-10),5,225,45
2,2021-09-04,H,Louisiana State,W (38-27),4,177,44.3
3,2021-09-18,H,Fresno State,L (37-40),4,166,41.5
4,2021-09-25,@,Stanford,W (35-24),6,279,46.5
5,2021-10-02,H,Arizona State,L (23-42),2,72,36
6,2021-10-09,@,Arizona,W (34-16),2,78,39
7,2021-10-16,@,Washington,W (24-17),3,129,43
8,2021-10-23,H,Oregon,L (31-34),1,27,27
9,2021-10-30,@,Utah,L (24-44),2,75,37.5
10,2021-11-13,H,Colorado,W (44-20),2,94,47
11,2021-11-20,@,Southern California,W (62-33),1,48,48
12,2021-11-27,H,California,W (42-14),2,94,47
1,2020-11-07,@,Colorado,L (42-48),3,143,47.7
2,2020-11-15,H,California,W (34-10),3,125,41.7
3,2020-11-21,@,Oregon,L (35-38),4,205,51.3
4,2020-11-28,H,Arizona,W (27-10),6,237,39.5
5,2020-12-05,@,Arizona State,W (25-18),4,142,35.5
6,2020-12-12,H,Southern California,L (38-43),2,86,43
7,2020-12-19,H,Stanford,L (47-48),2,96,48
1,2019-08-29,@,Cincinnati,L (14-24),5,228,45.6
2,2019-09-07,H,San Diego State,L (14-23),5,223,44.6
3,2019-09-14,H,Oklahoma,L (14-48),5,209,41.8
4,2019-09-21,@,Washington State,W (67-63),5,197,39.4
5,2019-09-28,@,Arizona,L (17-20),4,170,42.5
6,2019-10-05,H,Oregon State,L (31-48),1,43,43
7,2019-10-17,@,Stanford,W (34-16),4,168,42
8,2019-10-26,H,Arizona State,W (42-32),2,88,44
9,2019-11-02,H,Colorado,W (31-14),4,166,41.5
10,2019-11-16,@,Utah,L (3-49),4,172,43
11,2019-11-23,@,Southern California,L (35-52),5,216,43.2
12,2019-11-30,H,California,L (18-28),5,220,44
1,2018-09-01,H,Cincinnati,L (17-26),6,259,43.2
2,2018-09-08,@,Oklahoma,L (21-49),8,362,45.3
3,2018-09-15,H,Fresno State,L (14-38),6,291,48.5
4,2018-09-28,@,Colorado,L (16-38),6,297,49.5
5,2018-10-06,H,Washington,L (24-31),3,166,55.3
6,2018-10-13,@,California,W (37-7),4,165,41.3
7,2018-10-20,H,Arizona,W (31-30),7,339,48.4
8,2018-10-26,H,Utah,L (10-41),5,229,45.8
9,2018-11-03,@,Oregon,L (21-42),5,203,40.6
10,2018-11-10,@,Arizona State,L (28-31),3,150,50
11,2018-11-17,H,Southern California,W (34-27),3,104,34.7
12,2018-11-24,H,Stanford,L (42-49),5,234,46.8
1,2017-09-03,H,Texas A&M,W (45-44),1,37,37
2,2017-09-09,H,Hawaii,W (56-23),5,204,40.8
3,2017-09-16,@,Memphis,L (45-48),2,62,31
4,2017-09-23,@,Stanford,L (34-58),3,117,39
5,2017-09-30,H,Colorado,W (27-23),3,142,47.3
6,2017-10-14,@,Arizona,L (30-47),4,178,44.5
7,2017-10-21,H,Oregon,W (31-14),8,345,43.1
8,2017-10-28,@,Washington,L (23-44),8,364,45.5
9,2017-11-03,@,Utah,L (17-48),3,102,34
10,2017-11-11,H,Arizona State,W (44-37),4,181,45.3
11,2017-11-18,@,Southern California,L (23-28),6,259,43.2
12,2017-11-24,H,California,W (30-27),4,179,44.8
13,2017-12-26,H,Kansas State*,L (17-35),6,260,43.3
1,2016-09-03,@,Texas A&M,L (24-31),2,88,44
2,2016-09-10,H,Nevada-Las Vegas,W (42-21),8,348,43.5
3,2016-09-17,@,Brigham Young,W (17-14),5,215,43
4,2016-09-24,H,Stanford,L (13-22),5,169,33.8
5,2016-10-01,H,Arizona,W (45-24),8,291,36.4
6,2016-10-08,@,Arizona State,L (20-23),5,137,27.4
7,2016-10-15,@,Washington State,L (21-27),2,93,46.5
8,2016-10-22,H,Utah,L (45-52),4,161,40.3
9,2016-11-03,@,Colorado,L (10-20),7,258,36.85714286
10,2016-11-12,H,Oregon State,W (38-24),7,280,40
11,2016-11-19,H,Southern California,L (14-36),8,315,39.4
12,2016-11-26,@,California,L (10-36),3,113,37.7
1,2015-09-05,H,Virginia,W (34-16),4,173,43.3
2,2015-09-12,@,Nevada-Las Vegas,W (37-3),4,150,37.5
3,2015-09-19,H,Brigham Young,W (24-23),4,147,36.8
4,2015-09-26,@,Arizona,W (56-30),4,140,35
5,2015-10-03,H,Arizona State,L (23-38),6,227,37.8
6,2015-10-15,@,Stanford,L (35-56),7,325,46.4
7,2015-10-22,H,California,W (40-24),4,150,37.5
8,2015-10-31,H,Colorado,W (35-31),1,29,29
9,2015-11-07,@,Oregon State,W (41-0),6,278,46.3
10,2015-11-14,H,Washington State,L (27-31),7,264,37.7
11,2015-11-21,@,Utah,W (17-9),4,167,41.8
12,2015-11-28,@,Southern California,L (21-40),7,277,39.6
13,2015-12-26,N,Nebraska*,L (29-37),7,238,34
1,2014-08-30,@,Virginia,W (28-20),3,115,38.3
2,2014-09-06,H,Memphis,W (42-35),2,85,42.5
3,2014-09-13,N,Texas,W (20-17),6,273,45.5
4,2014-09-25,@,Arizona State,W (62-27),4,161,40.3
5,2014-10-04,H,Utah,L (28-30),3,111,37
6,2014-10-11,H,Oregon,L (30-42),4,166,41.5
7,2014-10-18,@,California,W (36-34),7,285,40.7
8,2014-10-25,@,Colorado,W (40-37),3,108,36
9,2014-11-01,H,Arizona,W (17-7),6,198,33
10,2014-11-08,@,Washington,W (44-30),3,169,56.3
11,2014-11-22,H,Southern California,W (38-20),4,186,46.5
12,2014-11-28,H,Stanford,L (10-31),3,136,45.3
13,2015-01-02,N,Kansas State*,W (40-35),6,229,38.2
1,2013-08-31,H,Nevada,W (58-20),5,206,41.2
2,2013-09-14,@,Nebraska,W (41-21),7,324,46.3
3,2013-09-21,H,New Mexico State,W (59-13),7,259,37
4,2013-10-03,@,Utah,W (34-27),3,131,43.7
5,2013-10-12,H,California,W (37-10),6,249,41.5
6,2013-10-19,@,Stanford,L (10-24),5,204,40.8
7,2013-10-26,@,Oregon,L (14-42),2,79,39.5
8,2013-11-02,H,Colorado,W (45-23),4,187,46.8
9,2013-11-09,@,Arizona,W (31-26),6,261,43.5
