Rk,Date,School,,Opponent,,Punts,Yds,Avg
1,2023-08-26,Southern California,,San Jose State,W,2,83,41.5
2,2023-09-02,Southern California,,Nevada,W,2,85,42.5
3,2023-09-09,Southern California,,Stanford,W,5,211,42.2
4,2023-09-23,Southern California,@,Arizona State,W,2,90,45
5,2023-09-30,Southern California,@,Colorado,W,4,190,47.5
6,2023-10-07,Southern California,,Arizona,W,5,232,46.4
7,2023-10-14,Southern California,@,Notre Dame,L,3,150,50
8,2023-10-21,Southern California,,Utah,L,4,181,45.3
9,2023-10-28,Southern California,@,California,W,7,294,42
10,2023-11-04,Southern California,,Washington,L,2,67,33.5
11,2023-11-11,Southern California,@,Oregon,L,4,162,40.5
12,2023-11-18,Southern California,,UCLA,L,2,88,44
13,2023-12-27,Southern California,N,Louisville*,W,2,73,36.5
1,2022-09-03,Southern California,,Rice,W,1,26,26
2,2022-09-10,Southern California,@,Stanford,W,2,64,32
3,2022-09-17,Southern California,,Fresno State,W,2,80,40
4,2022-09-24,Southern California,@,Oregon State,W,4,164,41
5,2022-10-01,Southern California,,Arizona State,W,1,37,37
6,2022-10-08,Southern California,,Washington State,W,5,225,45
7,2022-10-15,Southern California,@,Utah,L,2,101,50.5
8,2022-10-29,Southern California,@,Arizona,W,1,27,27
9,2022-11-05,Southern California,,California,W,5,198,39.6
10,2022-11-11,Southern California,,Colorado,W,2,86,43
11,2022-11-19,Southern California,@,UCLA,W,1,34,34
12,2022-12-02,Southern California,N,Utah,L,4,166,41.5
1,2021-09-04,Southern California,,San Jose State,W,5,228,45.6
2,2021-09-11,Southern California,,Stanford,L,4,194,48.5
3,2021-09-18,Southern California,@,Washington State,W,3,137,45.7
4,2021-09-25,Southern California,,Oregon State,L,3,135,45
5,2021-10-02,Southern California,@,Colorado,W,3,129,43
6,2021-10-09,Southern California,,Utah,L,5,231,46.2
7,2021-10-23,Southern California,@,Notre Dame,L,2,99,49.5
8,2021-10-30,Southern California,,Arizona,W,3,118,39.3
9,2021-11-06,Southern California,@,Arizona State,L,5,219,43.8
10,2021-11-20,Southern California,,UCLA,L,5,219,43.8
11,2021-11-27,Southern California,,Brigham Young,L,4,196,49
12,2021-12-04,Southern California,@,California,L,2,73,36.5
1,2020-11-07,Southern California,,Arizona State,W,3,138,46
2,2020-11-14,Southern California,@,Arizona,W,3,143,47.7
3,2020-11-21,Southern California,@,Utah,W,4,175,43.8
4,2020-12-06,Southern California,,Washington State,W,2,80,40
5,2020-12-12,Southern California,@,UCLA,W,3,153,51
6,2020-12-18,Southern California,,Oregon,L,3,146,48.7
1,2019-08-31,Southern California,,Fresno State,W,3,111,37
2,2019-09-07,Southern California,,Stanford,W,2,84,42
3,2019-09-14,Southern California,@,Brigham Young,L,4,154,38.5
4,2019-09-20,Southern California,,Utah,W,4,169,42.3
5,2019-09-28,Southern California,@,Washington,L,6,246,41
6,2019-10-12,Southern California,@,Notre Dame,L,5,211,42.2
7,2019-10-19,Southern California,,Arizona,W,6,266,44.3
8,2019-10-25,Southern California,@,Colorado,W,4,184,46
9,2019-11-02,Southern California,,Oregon,L,3,109,36.3
10,2019-11-09,Southern California,@,Arizona State,W,5,181,36.2
11,2019-11-16,Southern California,@,California,W,3,151,50.3
12,2019-11-23,Southern California,,UCLA,W,3,122,40.7
13,2019-12-27,Southern California,N,Iowa*,L,4,153,38.3
1,2018-09-01,Southern California,,Nevada-Las Vegas,W,4,115,28.8
2,2018-09-08,Southern California,@,Stanford,L,2,54,27
3,2018-09-15,Southern California,@,Texas,L,3,107,35.7
4,2018-09-21,Southern California,,Washington State,W,5,197,39.4
5,2018-09-29,Southern California,@,Arizona,W,5,228,45.6
6,2018-10-13,Southern California,,Colorado,W,7,297,42.4
7,2018-10-20,Southern California,@,Utah,L,7,279,39.9
8,2018-10-27,Southern California,,Arizona State,L,7,309,44.1
9,2018-11-03,Southern California,@,Oregon State,W,3,100,33.3
10,2018-11-10,Southern California,,California,L,6,241,40.2
11,2018-11-17,Southern California,@,UCLA,L,3,126,42
