Rk,Date,raw_location,Opponent,Result,Punts,Yds,Avg
1,2023-09-02,H,Boise State,W (56-19),5,209,41.8
2,2023-09-09,H,Tulsa,W (43-10),0,0,0
3,2023-09-16,@,Michigan State,W (41-7),2,63,31.5
4,2023-09-23,H,California,W (59-32),2,107,53.5
5,2023-09-30,@,Arizona,W (31-24),2,85,42.5
6,2023-10-14,H,Oregon,W (36-33),3,129,43
7,2023-10-21,H,Arizona State,W (15-7),3,110,36.7
8,2023-10-28,@,Stanford,W (42-33),5,208,41.6
9,2023-11-04,@,Southern California,W (52-42),0,0,0
10,2023-11-11,H,Utah,W (35-28),4,162,40.5
11,2023-11-18,@,Oregon State,W (22-20),4,176,44
12,2023-11-25,H,Washington State,W (24-21),6,228,38
13,2023-12-01,N,Oregon,W (34-31),1,54,54
14,2024-01-01,N,Texas*,W (37-31),3,108,36
15,2024-01-08,N,Michigan*,L (13-34),5,239,47.8
1,2022-09-03,H,Kent State,W (45-20),2,68,34
2,2022-09-10,H,Portland State,W (52-6),1,51,51
3,2022-09-17,H,Michigan State,W (39-28),3,113,37.7
4,2022-09-24,H,Stanford,W (40-22),3,129,43
5,2022-09-30,@,UCLA,L (32-40),1,50,50
6,2022-10-08,@,Arizona State,L (38-45),1,58,58
7,2022-10-15,H,Arizona,W (49-39),1,50,50
8,2022-10-22,@,California,W (28-21),3,113,37.7
9,2022-11-04,H,Oregon State,W (24-21),3,110,36.7
10,2022-11-12,@,Oregon,W (37-34),1,37,37
11,2022-11-19,H,Colorado,W (54-7),0,0,0
12,2022-11-26,@,Washington State,W (51-33),1,43,43
13,2022-12-29,N,Texas*,W (27-20),3,117,39
1,2021-09-04,H,Montana,L (7-13),5,225,45
2,2021-09-11,@,Michigan,L (10-31),5,249,49.8
3,2021-09-18,H,Arkansas State,W (52-3),3,137,45.7
4,2021-09-25,H,California,W (31-24),4,222,55.5
5,2021-10-02,@,Oregon State,L (24-27),5,203,40.6
6,2021-10-16,H,UCLA,L (17-24),3,155,51.7
7,2021-10-22,@,Arizona,W (21-16),7,347,49.6
8,2021-10-30,@,Stanford,W (20-13),3,129,43
9,2021-11-06,H,Oregon,L (16-26),7,316,45.1
10,2021-11-13,H,Arizona State,L (30-35),5,260,52
11,2021-11-20,@,Colorado,L (17-20),2,111,55.5
12,2021-11-26,H,Washington State,L (13-40),4,218,54.5
1,2020-11-14,H,Oregon State,W (27-21),2,85,42.5
2,2020-11-21,H,Arizona,W (44-27),3,126,42
3,2020-11-28,H,Utah,W (24-21),3,133,44.3
4,2020-12-05,H,Stanford,L (26-31),2,80,40
1,2019-08-31,H,Eastern Washington,W (47-14),2,100,50
2,2019-09-07,H,California,L (19-20),1,44,44
3,2019-09-14,H,Hawaii,W (52-20),3,131,43.7
4,2019-09-21,@,Brigham Young,W (45-19),1,37,37
5,2019-09-28,H,Southern California,W (28-14),6,266,44.3
6,2019-10-05,@,Stanford,L (13-23),4,176,44
7,2019-10-12,@,Arizona,W (51-27),3,145,48.3
8,2019-10-19,H,Oregon,L (31-35),4,176,44
9,2019-11-02,H,Utah,L (28-33),4,192,48
10,2019-11-08,@,Oregon State,W (19-7),4,165,41.3
11,2019-11-23,@,Colorado,L (14-20),7,336,48
12,2019-11-29,H,Washington State,W (31-13),3,127,42.3
13,2019-12-21,N,Boise State*,W (38-7),3,142,47.3
1,2018-09-01,N,Auburn,L (16-21),1,43,43
2,2018-09-08,H,North Dakota,W (45-3),4,188,47
3,2018-09-15,@,Utah,W (21-7),7,269,38.4
4,2018-09-22,H,Arizona State,W (27-20),3,148,49.3
5,2018-09-29,H,Brigham Young,W (35-7),1,40,40
6,2018-10-06,@,UCLA,W (31-24),2,95,47.5
7,2018-10-13,@,Oregon,L (27-30),2,67,33.5
8,2018-10-20,H,Colorado,W (27-13),3,128,42.7
9,2018-10-27,@,California,L (10-12),5,229,45.8
10,2018-11-03,H,Stanford,W (27-23),5,174,34.8
11,2018-11-17,H,Oregon State,W (42-23),4,173,43.25
12,2018-11-23,@,Washington State,W (28-15),1,48,48
13,2018-11-30,N,Utah,W (10-3),3,109,36.3
14,2019-01-01,N,Ohio State*,L (23-28),5,200,40
1,2017-09-01,@,Rutgers,W (30-14),5,177,35.4
2,2017-09-09,H,Montana,W (63-7),2,67,33.5
3,2017-09-16,H,Fresno State,W (48-16),3,120,40
4,2017-09-23,@,Colorado,W (37-10),1,51,51
5,2017-09-30,@,Oregon State,W (42-7),3,141,47
6,2017-10-07,H,California,W (38-7),4,170,42.5
7,2017-10-14,@,Arizona State,L (7-13),6,276,46
8,2017-10-28,H,UCLA,W (44-23),2,69,34.5
9,2017-11-04,H,Oregon,W (38-3),2,77,38.5
10,2017-11-10,@,Stanford,L (22-30),3,116,38.7
11,2017-11-18,H,Utah,W (33-30),2,87,43.5
12,2017-11-25,H,Washington State,W (41-14),4,182,45.5
13,2017-12-30,@,Penn State*,L (28-35),5,245,49
1,2016-09-03,H,Rutgers,W (48-13),4,137,34.3
2,2016-09-10,H,Idaho,W (59-14),2,99,49.5
3,2016-09-17,H,Portland State,W (41-3),3,112,37.3
4,2016-09-24,@,Arizona,W (35-28),3,121,40.3
5,2016-09-30,H,Stanford,W (44-6),2,81,40.5
6,2016-10-08,@,Oregon,W (70-21),5,225,45
7,2016-10-22,H,Oregon State,W (41-17),3,120,40
8,2016-10-29,@,Utah,W (31-24),3,131,43.7
9,2016-11-05,@,California,W (66-27),4,130,32.5
10,2016-11-12,H,Southern California,L (13-26),4,138,34.5
11,2016-11-19,H,Arizona State,W (44-18),2,77,38.5
12,2016-11-25,@,Washington State,W (45-17),3,130,43.3
13,2016-12-02,N,Colorado,W (41-10),5,203,40.6
14,2016-12-31,N,Alabama*,L (7-24),8,373,46.6
1,2015-09-04,@,Boise State,L (13-16),8,325,40.6
2,2015-09-12,H,Sacramento State,W (49-0),2,72,36
3,2015-09-19,H,Utah State,W (31-17),2,105,52.5
4,2015-09-26,H,California,L (24-30),3,114,38
5,2015-10-08,@,Southern California,W (17-12),5,235,47
6,2015-10-17,H,Oregon,L (20-26),5,220,44
7,2015-10-24,@,Stanford,L (14-31),7,314,44.9
8,2015-10-31,H,Arizona,W (49-3),4,161,40.3
9,2015-11-07,H,Utah,L (23-34),4,141,35.25
10,2015-11-14,@,Arizona State,L (17-27),5,227,45.4
11,2015-11-21,@,Oregon State,W (52-7),1,53,53
12,2015-11-27,H,Washington State,W (45-10),3,109,36.3
13,2015-12-26,N,Southern Mississippi*,W (44-31),2,112,56
1,2014-08-30,@,Hawaii,W (17-16),8,340,42.5
2,2014-09-06,H,Eastern Washington,W (59-52),2,72,36
3,2014-09-13,H,Illinois,W (44-19),3,97,32.3
4,2014-09-20,H,Georgia State,W (45-14),5,189,37.8
5,2014-09-27,H,Stanford,L (13-20),7,362,51.7
6,2014-10-11,@,California,W (31-7),5,199,39.8
7,2014-10-18,@,Oregon,L (20-45),3,132,44
8,2014-10-25,H,Arizona State,L (10-24),7,211,30.1
9,2014-11-01,@,Colorado,W (38-23),4,189,47.3
10,2014-11-08,H,UCLA,L (30-44),4,190,47.5
11,2014-11-15,@,Arizona,L (26-27),5,225,45
12,2014-11-22,H,Oregon State,W (37-13),3,133,44.3
13,2014-11-29,@,Washington State,W (31-13),4,172,43
14,2015-01-02,N,Oklahoma State*,L (22-30),3,142,47.3
1,2013-08-31,H,Boise State,W (38-6),1,36,36
2,2013-09-14,N,Illinois,W (34-24),7,276,39.4
