Rk,Date,raw_location,Opponent,Result,opponent_pass_cmp,opponent_pass_att,opponent_completion_pct,opponent_pass_yds,opponent_pass_td,opponent_rush_att,opponent_rush_yds,opponent_rush_avg,opponent_rush_tds,opponent_total_plays,opponent_total_yards,opponent_avg_yds,opponent_pass_first_downs,opponent_rush_first_downs,opponent_first_down_pens,opponent_total_first_downs,opponent_total_penalties,opponent_total_penalties_yds,opponent_total_fum,opponent_total_int,opponent_total_to
1,2023-09-02,H,Portland State,W (81-7),8,20,40,52,1,37,148,4,0,57,200,3.5,3,5,0,8,4,50,1,0,1
2,2023-09-09,@,Texas Tech,W (38-30),24,38,63.2,282,3,32,174,5.4,1,70,456,6.5,13,8,6,27,6,65,1,3,4
3,2023-09-16,H,Hawaii,W (55-10),28,44,63.6,142,1,19,59,3.1,0,63,201,3.2,7,4,4,15,5,27,0,1,1
4,2023-09-23,H,Colorado,W (42-6),23,33,69.7,159,1,25,40,1.6,0,58,199,3.4,6,4,3,13,12,106,0,0,0
5,2023-09-30,@,Stanford,W (42-6),14,24,58.3,133,0,46,89,1.9,0,70,222,3.2,6,9,1,16,4,25,0,0,0
6,2023-10-14,@,Washington,L (33-36),23,38,60.5,316,4,23,99,4.3,1,61,415,6.8,16,6,2,24,5,45,0,1,1
7,2023-10-21,H,Washington State,W (38-24),34,49,69.4,438,1,22,57,2.6,1,71,495,7,15,6,0,21,8,53,0,0,0
8,2023-10-28,@,Utah,W (35-6),16,30,53.3,142,0,36,99,2.8,0,66,241,3.7,7,5,1,13,3,25,0,2,2
9,2023-11-04,H,California,W (63-19),18,34,52.9,177,0,29,109,3.8,1,63,286,4.5,9,5,2,16,3,23,2,1,3
10,2023-11-11,H,Southern California,W (36-27),20,35,57.1,306,1,25,73,2.9,3,60,379,6.3,13,6,3,22,6,45,1,0,1
11,2023-11-18,@,Arizona State,W (49-13),25,47,53.2,205,0,18,111,6.2,1,65,316,4.9,12,7,1,20,4,37,0,1,1
12,2023-11-24,H,Oregon State,W (31-7),19,35,54.3,220,1,24,53,2.2,0,59,273,4.6,11,3,3,17,4,23,0,1,1
13,2023-12-01,N,Washington,L (31-34),29,41,70.7,324,2,37,157,4.2,2,78,481,6.2,15,9,2,26,7,50,0,1,1
14,2024-01-01,N,Liberty*,W (45-6),15,24,62.5,126,1,28,168,6,0,52,294,5.7,7,7,1,15,6,49,1,1,2
1,2022-09-03,N,Georgia,L (3-49),30,37,81.1,439,3,25,132,5.3,4,62,571,9.2,20,5,1,26,7,75,0,0,0
2,2022-09-10,H,Eastern Washington,W (70-14),12,23,52.2,87,2,28,100,3.6,0,51,187,3.7,4,6,1,11,5,52,0,2,2
3,2022-09-17,H,Brigham Young,W (41-20),29,41,70.7,305,2,24,61,2.5,1,65,366,5.6,13,6,2,21,7,64,0,0,0
4,2022-09-24,@,Washington State,W (44-41),37,48,77.1,375,2,25,53,2.1,2,73,428,5.9,18,5,5,28,5,27,0,2,2
5,2022-10-01,H,Stanford,W (45-27),22,38,57.9,205,3,34,127,3.7,0,72,332,4.6,13,6,3,22,5,48,1,0,1
6,2022-10-08,@,Arizona,W (49-22),24,42,57.1,241,1,25,115,4.6,1,67,356,5.3,14,5,4,23,3,11,2,1,3
7,2022-10-22,H,UCLA,W (45-30),27,39,69.2,262,2,30,186,6.2,1,69,448,6.5,17,8,1,26,6,65,0,1,1
8,2022-10-29,@,California,W (42-24),28,44,63.6,328,3,26,74,2.8,0,70,402,5.7,14,6,1,21,5,30,0,2,2
9,2022-11-05,@,Colorado,W (49-10),17,34,50,247,1,36,120,3.3,0,70,367,5.2,10,8,2,20,6,47,1,2,3
10,2022-11-12,H,Washington,L (34-37),26,35,74.3,408,2,22,114,5.2,2,57,522,9.2,15,7,1,23,5,25,0,1,1
11,2022-11-19,H,Utah,W (20-17),21,38,55.3,170,0,36,156,4.3,1,74,326,4.4,9,11,3,23,2,15,0,3,3
12,2022-11-26,@,Oregon State,L (34-38),6,13,46.2,60,0,43,268,6.2,5,56,328,5.9,3,14,2,19,3,37,1,2,3
13,2022-12-28,N,North Carolina*,W (28-27),18,35,51.4,206,3,34,116,3.4,0,69,322,4.7,11,7,2,20,5,55,0,0,0
1,2021-09-04,H,Fresno State,W (31-24),30,43,69.8,298,1,30,77,2.6,1,73,375,5.1,16,3,4,23,8,63,3,0,3
2,2021-09-11,@,Ohio State,W (35-28),35,54,64.8,484,3,31,128,4.1,1,85,612,7.2,23,8,1,32,8,71,0,1,1
3,2021-09-18,H,Stony Brook,W (48-7),10,23,43.5,131,0,39,140,3.6,1,62,271,4.4,4,8,2,14,13,89,1,3,4
4,2021-09-25,H,Arizona,W (41-19),21,35,60,233,1,53,202,3.8,1,88,435,4.9,13,14,4,31,9,58,0,5,5
5,2021-10-02,@,Stanford,L (24-31),20,36,55.6,230,3,35,124,3.5,1,71,354,5,12,7,4,23,10,59,0,0,0
6,2021-10-15,H,California,W (24-17),25,44,56.8,247,2,36,155,4.3,0,80,402,5,12,10,1,23,10,77,0,0,0
7,2021-10-23,@,UCLA,W (34-31),24,46,52.2,242,1,45,110,2.4,3,91,352,3.9,14,11,3,28,8,50,1,2,3
8,2021-10-30,H,Colorado,W (52-29),25,33,75.8,224,3,30,117,3.9,1,63,341,5.4,10,8,1,19,11,75,0,0,0
9,2021-11-06,@,Washington,W (26-16),15,27,55.6,111,0,24,55,2.3,2,51,166,3.3,4,2,1,7,6,48,0,1,1
10,2021-11-13,H,Washington State,W (38-24),20,36,55.6,280,2,25,91,3.6,1,61,371,6.1,10,8,2,20,4,42,1,2,3
11,2021-11-20,@,Utah,L (7-38),10,18,55.6,178,0,50,208,4.2,4,68,386,5.7,8,15,1,24,5,45,0,0,0
12,2021-11-27,H,Oregon State,W (38-29),25,39,64.1,308,2,21,85,4,2,60,393,6.6,18,4,1,23,3,30,0,1,1
13,2021-12-03,N,Utah,L (10-38),15,24,62.5,170,1,40,191,4.8,3,64,361,5.6,7,11,3,21,10,89,0,2,2
14,2021-12-29,N,Oklahoma*,L (32-47),21,27,77.8,242,3,43,322,7.5,3,70,564,8.1,12,13,2,27,8,71,0,0,0
1,2020-11-07,H,Stanford,W (35-14),16,26,61.5,216,0,31,197,6.4,2,57,413,7.2,8,5,3,16,10,100,0,0,0
2,2020-11-14,@,Washington State,W (43-29),25,39,64.1,321,2,27,100,3.7,1,66,421,6.4,14,4,2,20,4,40,0,0,0
3,2020-11-21,H,UCLA,W (38-35),19,31,61.3,195,1,51,267,5.2,3,82,462,5.6,10,16,1,27,8,60,2,2,4
4,2020-11-27,@,Oregon State,L (38-41),23,38,60.5,263,1,44,269,6.1,4,82,532,6.5,15,10,0,25,7,62,0,0,0
5,2020-12-05,@,California,L (17-21),20,32,62.5,183,1,47,88,1.9,2,79,271,3.4,10,5,3,18,4,33,0,0,0
6,2020-12-18,@,Southern California,W (31-24),28,52,53.8,320,2,28,38,1.4,1,80,358,4.5,17,4,4,25,9,98,0,3,3
7,2021-01-02,N,Iowa State*,L (17-34),20,29,69,156,1,56,228,4.1,3,85,384,4.5,10,14,1,25,4,20,0,0,0
1,2019-08-31,N,Auburn,L (21-27),13,32,40.6,177,2,43,206,4.8,1,75,383,5.1,7,13,2,22,7,60,0,2,2
2,2019-09-07,H,Nevada,W (77-6),16,28,57.1,109,0,40,83,2.1,0,68,192,2.8,6,5,1,12,9,54,2,2,4
3,2019-09-14,H,Montana,W (35-3),24,43,55.8,234,0,21,8,0.4,0,64,242,3.8,11,1,0,12,7,79,0,1,1
4,2019-09-21,@,Stanford,W (21-6),16,30,53.3,120,0,33,114,3.5,0,63,234,3.7,6,7,0,13,6,45,0,1,1
5,2019-10-05,H,California,W (17-7),17,34,50,190,1,30,66,2.2,0,64,256,4,7,4,1,12,11,98,0,2,2
6,2019-10-11,H,Colorado,W (45-3),19,34,55.9,131,0,40,168,4.2,0,74,299,4,9,7,6,22,14,114,0,4,4
7,2019-10-19,@,Washington,W (35-31),23,30,76.7,289,3,33,144,4.4,1,63,433,6.9,11,8,1,20,7,62,0,0,0
8,2019-10-26,H,Washington State,W (37-35),32,50,64,406,3,15,40,2.7,1,65,446,6.9,20,3,4,27,4,36,0,2,2
9,2019-11-02,@,Southern California,W (56-24),32,57,56.1,264,3,25,91,3.6,0,82,355,4.3,16,6,9,31,8,92,1,3,4
10,2019-11-16,H,Arizona,W (34-6),17,30,56.7,132,0,39,108,2.8,0,69,240,3.5,7,7,4,18,8,45,0,0,0
11,2019-11-23,@,Arizona State,L (28-31),22,33,66.7,408,3,41,127,3.1,0,74,535,7.2,13,8,1,22,12,90,0,0,0
12,2019-11-30,H,Oregon State,W (24-10),26,41,63.4,243,0,34,137,4,1,75,380,5.1,10,9,1,20,6,45,1,0,1
13,2019-12-06,N,Utah,W (37-15),17,29,58.6,193,2,35,116,3.3,0,64,309,4.8,8,7,3,18,8,48,0,2,2
14,2020-01-01,N,Wisconsin*,W (28-27),23,35,65.7,186,1,37,136,3.7,1,72,322,4.5,8,9,1,18,9,79,3,1,4
1,2018-09-01,H,Bowling Green State,W (58-24),22,38,57.9,253,3,49,155,3.2,0,87,408,4.7,14,8,0,22,5,50,1,2,3
2,2018-09-08,H,Portland State,W (62-14),8,16,50,158,2,40,66,1.7,0,56,224,4,4,4,2,10,8,55,0,0,0
3,2018-09-15,H,San Jose State,W (35-22),20,41,48.8,267,1,28,29,1,1,69,296,4.3,12,1,3,16,3,25,0,2,2
