Rk,Date,,Opponent,Result
1,2023-09-02,,Portland State,W (81-7)
2,2023-09-09,@,Texas Tech,W (38-30)
3,2023-09-16,,Hawaii,W (55-10)
4,2023-09-23,,Colorado,W (42-6)
5,2023-09-30,@,Stanford,W (42-6)
6,2023-10-14,@,Washington,L (33-36)
7,2023-10-21,,Washington State,W (38-24)
8,2023-10-28,@,Utah,W (35-6)
9,2023-11-04,,California,W (63-19)
10,2023-11-11,,Southern California,W (36-27)
11,2023-11-18,@,Arizona State,W (49-13)
12,2023-11-24,,Oregon State,W (31-7)
13,2023-12-01,N,Washington,L (31-34)
14,2024-01-01,N,Liberty*,W (45-6)
1,2022-09-03,N,Georgia,L (3-49)
2,2022-09-10,,Eastern Washington,W (70-14)
3,2022-09-17,,Brigham Young,W (41-20)
4,2022-09-24,@,Washington State,W (44-41)
5,2022-10-01,,Stanford,W (45-27)
6,2022-10-08,@,Arizona,W (49-22)
7,2022-10-22,,UCLA,W (45-30)
8,2022-10-29,@,California,W (42-24)
9,2022-11-05,@,Colorado,W (49-10)
10,2022-11-12,,Washington,L (34-37)
11,2022-11-19,,Utah,W (20-17)
12,2022-11-26,@,Oregon State,L (34-38)
13,2022-12-28,N,North Carolina*,W (28-27)
1,2021-09-04,,Fresno State,W (31-24)
2,2021-09-11,@,Ohio State,W (35-28)
3,2021-09-18,,Stony Brook,W (48-7)
4,2021-09-25,,Arizona,W (41-19)
5,2021-10-02,@,Stanford,L (24-31)
6,2021-10-15,,California,W (24-17)
7,2021-10-23,@,UCLA,W (34-31)
8,2021-10-30,,Colorado,W (52-29)
9,2021-11-06,@,Washington,W (26-16)
10,2021-11-13,,Washington State,W (38-24)
11,2021-11-20,@,Utah,L (7-38)
12,2021-11-27,,Oregon State,W (38-29)
13,2021-12-03,N,Utah,L (10-38)
14,2021-12-29,N,Oklahoma*,L (32-47)
1,2020-11-07,,Stanford,W (35-14)
2,2020-11-14,@,Washington State,W (43-29)
3,2020-11-21,,UCLA,W (38-35)
4,2020-11-27,@,Oregon State,L (38-41)
5,2020-12-05,@,California,L (17-21)
6,2020-12-18,@,Southern California,W (31-24)
7,2021-01-02,N,Iowa State*,L (17-34)
1,2019-08-31,N,Auburn,L (21-27)
2,2019-09-07,,Nevada,W (77-6)
3,2019-09-14,,Montana,W (35-3)
4,2019-09-21,@,Stanford,W (21-6)
5,2019-10-05,,California,W (17-7)
6,2019-10-11,,Colorado,W (45-3)
7,2019-10-19,@,Washington,W (35-31)
8,2019-10-26,,Washington State,W (37-35)
9,2019-11-02,@,Southern California,W (56-24)
10,2019-11-16,,Arizona,W (34-6)
11,2019-11-23,@,Arizona State,L (28-31)
12,2019-11-30,,Oregon State,W (24-10)
13,2019-12-06,N,Utah,W (37-15)
14,2020-01-01,N,Wisconsin*,W (28-27)
1,2018-09-01,,Bowling Green State,W (58-24)
2,2018-09-08,,Portland State,W (62-14)
3,2018-09-15,,San Jose State,W (35-22)
4,2018-09-22,,Stanford,L (31-38)
5,2018-09-29,@,California,W (42-24)
6,2018-10-13,,Washington,W (30-27)
7,2018-10-20,@,Washington State,L (20-34)
8,2018-10-27,@,Arizona,L (15-44)
9,2018-11-03,,UCLA,W (42-21)
10,2018-11-10,@,Utah,L (25-32)
11,2018-11-17,,Arizona State,W (31-29)
12,2018-11-23,@,Oregon State,W (55-15)
13,2018-12-31,N,Michigan State*,W (7-6)
