Rk,Date,raw_location,Opponent,Result,pass_cmp,pass_att,completion_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_tds,total_plays,total_yards,avg_yds,pass_first_downs,rush_first_downs,first_down_pens,total_first_downs,total_penalties,total_penalties_yds,total_fum,total_int,total_to
1,2023-09-02,H,Portland State,W (81-7),33,38,86.8,381,4,34,348,10.2,7,72,729,10.1,21,14,3,38,2,20,0,0,0
2,2023-09-09,@,Texas Tech,W (38-30),32,44,72.7,359,2,31,113,3.6,1,75,472,6.3,13,7,1,21,14,124,0,0,0
3,2023-09-16,H,Hawaii,W (55-10),26,34,76.5,333,4,30,227,7.6,3,64,560,8.8,12,13,0,25,9,76,0,0,0
4,2023-09-23,H,Colorado,W (42-6),30,35,85.7,282,3,38,240,6.3,3,73,522,7.2,13,13,4,30,9,80,0,1,1
5,2023-09-30,@,Stanford,W (42-6),28,33,84.8,298,4,28,208,7.4,2,61,506,8.3,13,13,0,26,2,20,0,0,0
6,2023-10-14,@,Washington,L (33-36),33,44,75,337,2,40,204,5.1,2,84,541,6.4,17,12,3,32,5,55,0,0,0
7,2023-10-21,H,Washington State,W (38-24),18,25,72,293,2,32,248,7.8,3,57,541,9.5,9,9,2,20,7,45,0,0,0
8,2023-10-28,@,Utah,W (35-6),24,31,77.4,248,2,27,142,5.3,3,58,390,6.7,12,6,0,18,8,58,1,0,1
9,2023-11-04,H,California,W (63-19),35,46,76.1,444,5,36,153,4.3,4,82,597,7.3,18,12,2,32,9,99,1,1,2
10,2023-11-11,H,Southern California,W (36-27),23,32,71.9,412,4,31,140,4.5,1,63,552,8.8,15,8,3,26,13,120,0,0,0
11,2023-11-18,@,Arizona State,W (49-13),28,36,77.8,463,7,33,140,4.2,0,69,603,8.7,20,10,1,31,5,45,0,2,2
12,2023-11-24,H,Oregon State,W (31-7),33,40,82.5,367,2,28,113,4,2,68,480,7.1,19,9,0,28,6,65,0,0,0
13,2023-12-01,N,Washington,L (31-34),21,34,61.8,239,3,20,124,6.2,1,54,363,6.7,11,5,1,17,2,21,0,1,1
14,2024-01-01,N,Liberty*,W (45-6),33,42,78.6,401,5,29,183,6.3,1,71,584,8.2,18,8,2,28,2,20,0,0,0
1,2022-09-03,N,Georgia,L (3-49),21,37,56.8,173,0,31,140,4.5,0,68,313,4.6,8,10,3,21,5,35,0,2,2
2,2022-09-10,H,Eastern Washington,W (70-14),34,41,82.9,341,5,48,263,5.5,4,89,604,6.8,16,21,3,40,6,55,0,0,0
3,2022-09-17,H,Brigham Young,W (41-20),14,20,70,227,2,44,212,4.8,3,64,439,6.9,9,13,2,24,8,48,0,1,1
4,2022-09-24,@,Washington State,W (44-41),34,45,75.6,446,3,32,178,5.6,1,77,624,8.1,17,11,0,28,8,87,0,1,1
5,2022-10-01,H,Stanford,W (45-27),17,34,50,164,2,37,351,9.5,4,71,515,7.3,5,14,4,23,14,135,0,1,1
6,2022-10-08,@,Arizona,W (49-22),23,29,79.3,274,0,41,306,7.5,7,70,580,8.3,12,16,1,29,6,56,0,0,0
7,2022-10-22,H,UCLA,W (45-30),22,28,78.6,283,5,46,262,5.7,1,74,545,7.4,11,19,1,31,8,50,0,0,0
8,2022-10-29,@,California,W (42-24),27,35,77.1,412,3,40,174,4.4,3,75,586,7.8,18,11,2,31,4,30,0,2,2
9,2022-11-05,@,Colorado,W (49-10),22,27,81.5,284,3,39,195,5,4,66,479,7.3,13,8,0,21,4,40,0,0,0
10,2022-11-12,H,Washington,L (34-37),19,28,67.9,279,2,51,313,6.1,2,79,592,7.5,12,20,0,32,7,51,1,0,1
11,2022-11-19,H,Utah,W (20-17),25,37,67.6,287,1,25,59,2.4,1,62,346,5.6,10,6,0,16,6,60,2,1,3
12,2022-11-26,@,Oregon State,L (34-38),27,41,65.9,327,2,42,143,3.4,2,83,470,5.7,15,9,2,26,7,58,0,0,0
13,2022-12-28,N,North Carolina*,W (28-27),23,30,76.7,205,2,32,209,6.5,2,62,414,6.7,12,7,3,22,5,39,0,1,1
1,2021-09-04,H,Fresno State,W (31-24),15,24,62.5,172,1,49,186,3.8,3,73,358,4.9,7,10,3,20,8,87,1,0,1
2,2021-09-11,@,Ohio State,W (35-28),17,35,48.6,236,2,38,269,7.1,3,73,505,6.9,13,12,2,27,4,35,0,0,0
3,2021-09-18,H,Stony Brook,W (48-7),21,29,72.4,254,3,40,182,4.6,3,69,436,6.3,12,10,4,26,6,80,0,0,0
4,2021-09-25,H,Arizona,W (41-19),10,24,41.7,206,3,31,187,6,1,55,393,7.1,9,7,1,17,9,95,0,0,0
5,2021-10-02,@,Stanford,L (24-31),14,26,53.8,186,0,53,228,4.3,3,79,414,5.2,9,12,0,21,10,99,0,1,1
6,2021-10-15,H,California,W (24-17),20,28,71.4,244,1,35,210,6,2,63,454,7.2,9,13,1,23,9,82,2,0,2
7,2021-10-23,@,UCLA,W (34-31),29,39,74.4,296,0,24,121,5,5,63,417,6.6,14,7,1,22,9,57,1,2,3
8,2021-10-30,H,Colorado,W (52-29),26,36,72.2,312,3,36,256,7.1,4,72,568,7.9,15,15,2,32,5,40,0,1,1
9,2021-11-06,@,Washington,W (26-16),10,20,50,98,1,56,329,5.9,2,76,427,5.6,3,17,2,22,8,70,0,1,1
10,2021-11-13,H,Washington State,W (38-24),17,22,77.3,135,1,47,306,6.5,4,69,441,6.4,5,19,2,26,5,41,2,0,2
11,2021-11-20,@,Utah,L (7-38),17,35,48.6,231,1,23,63,2.7,0,58,294,5.1,8,8,2,18,6,45,0,0,0
12,2021-11-27,H,Oregon State,W (38-29),23,28,82.1,275,2,41,231,5.6,3,69,506,7.3,14,12,0,26,10,52,0,0,0
13,2021-12-03,N,Utah,L (10-38),13,24,54.2,147,0,29,74,2.6,1,53,221,4.2,5,7,2,14,9,87,0,2,2
14,2021-12-29,N,Oklahoma*,L (32-47),27,40,67.5,306,3,33,191,5.8,1,73,497,6.8,12,13,1,26,5,35,0,1,1
1,2020-11-07,H,Stanford,W (35-14),17,26,65.4,227,1,40,269,6.7,4,66,496,7.5,10,15,4,29,6,43,1,1,2
2,2020-11-14,@,Washington State,W (43-29),21,30,70,312,4,36,269,7.5,2,66,581,8.8,13,12,1,26,4,37,2,1,3
