Rk,Date,raw_location,Opponent,Result,Temp (F),Precipitation (in),Windspeed (mph),Altitude,Distance
1,2023-09-02,H,Portland State,W (81-7),67.2,0,5.4,131,0
2,2023-09-09,@,Texas Tech,W (38-30),82.8,0,10.6,976,1347.73
3,2023-09-16,H,Hawaii,W (55-10),67.8,0,6.4,131,0
4,2023-09-23,H,Colorado,W (42-6),60.5,0.006,5.2,131,0
5,2023-09-30,@,Stanford,W (42-6),62.3,0.04,8,30,459.49
6,2023-10-14,@,Washington,L (33-36),57.3,0.038,2.3,20,250.8
7,2023-10-21,H,Washington State,W (38-24),58.2,0.001,3.6,131,0
8,2023-10-28,@,Utah,W (35-6),39.1,0,8,"1,288",616.65
9,2023-11-04,H,California,W (63-19),64.6,0.758,6.7,131,0
10,2023-11-11,H,Southern California,W (36-27),51.4,0.004,10.7,131,0
11,2023-11-18,@,Arizona State,W (49-13),68.2,0.141,4.5,360,946.82
12,2023-11-24,H,Oregon State,W (31-7),37.5,0,6.5,131,0
13,2023-12-01,N,Washington,L (31-34),68,0,0,620,687
14,2024-01-01,N,Liberty*,W (45-6),52.2,0,3.2,351.1,932
1,2022-09-03,N,Georgia,L (3-49),68,0,0,320,2181
2,2022-09-10,H,Eastern Washington,W (70-14),70.1,0,5.8,131,0
3,2022-09-17,H,Brigham Young,W (41-20),57.8,0,3.5,131,0
4,2022-09-24,@,Washington State,W (44-41),55.7,0.226,9.6,778,341.37
5,2022-10-01,H,Stanford,W (45-27),63.9,0,5.7,131,0
6,2022-10-08,@,Arizona,W (49-22),70.7,0,12.5,728,1047.13
7,2022-10-22,H,UCLA,W (45-30),51.4,0.208,7.9,131,0
8,2022-10-29,@,California,W (42-24),56.1,0,4.2,61,429.03
9,2022-11-05,@,Colorado,W (49-10),57.8,0.067,6.8,"1,655",955.42
10,2022-11-12,H,Washington,L (34-37),41.7,0.002,4.7,131,0
11,2022-11-19,H,Utah,W (20-17),32.1,0,3.2,131,0
12,2022-11-26,@,Oregon State,L (34-38),39.7,0,3,72,36.43
13,2022-12-28,N,North Carolina*,W (28-27),60.2,0.467,6.2,19,845
1,2021-09-04,H,Fresno State,W (31-24),68.6,0,6.2,131,0
2,2021-09-11,@,Ohio State,W (35-28),67.7,0,8.4,256,2059.13
3,2021-09-18,H,Stony Brook,W (48-7),60.8,1.088,11.9,131,0
4,2021-09-25,H,Arizona,W (41-19),65,0,7.9,131,0
5,2021-10-02,@,Stanford,L (24-31),69.5,0,4.9,30,459.49
6,2021-10-15,H,California,W (24-17),52.4,0,4.6,131,0
7,2021-10-23,@,UCLA,W (34-31),63,0.044,2,94,732.25
8,2021-10-30,H,Colorado,W (52-29),49,0.023,6.6,131,0
9,2021-11-06,@,Washington,W (26-16),44.7,0.48,9.7,20,250.8
10,2021-11-13,H,Washington State,W (38-24),57.4,0.037,4.2,131,0
11,2021-11-20,@,Utah,L (7-38),41.2,0.028,5.8,"1,288",616.65
12,2021-11-27,H,Oregon State,W (38-29),56.2,0.019,7.6,131,0
13,2021-12-03,N,Utah,L (10-38),68,0,0,620,687
14,2021-12-29,N,Oklahoma*,L (32-47),68,0,0,202,1686
1,2020-11-07,H,Stanford,W (35-14),42.1,0.038,6,131,0
2,2020-11-14,@,Washington State,W (43-29),36.7,0.019,16.7,778,341.37
3,2020-11-21,H,UCLA,W (38-35),36.6,0,5.2,131,0
4,2020-11-27,@,Oregon State,L (38-41),35.8,0,1.7,72,36.43
5,2020-12-05,@,California,L (17-21),50.5,0,3.4,61,429.03
6,2020-12-18,@,Southern California,W (31-24),56.5,0,0.9,55,738.71
7,2021-01-02,N,Iowa State*,L (17-34),68,0,0,351.1,932
