,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,,,
Rk,Date,,Opponent,,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,2023-09-02,,Coastal Carolina,W (27-13),28,43,65.1,289,1,34,56,1.6,0,77,345,4.5,14,5,2,21,3,45,1,2,3
2,2023-09-09,@,San Diego State,W (35-10),20,38,52.6,196,1,33,63,1.9,0,71,259,3.6,11,4,2,17,4,40,0,3,3
3,2023-09-16,,North Carolina Central,W (59-7),17,31,54.8,142,0,37,90,2.4,1,68,232,3.4,9,5,0,14,4,25,1,1,2
4,2023-09-23,@,Utah,L (7-14),9,17,52.9,117,1,48,102,2.1,0,65,219,3.4,7,6,0,13,4,30,1,0,1
5,2023-10-07,,Washington State,W (25-17),20,40,50,204,1,19,12,0.6,0,59,216,3.7,6,3,2,11,4,20,2,2,4
6,2023-10-14,@,Oregon State,L (24-36),16,26,61.5,282,3,28,133,4.8,0,54,415,7.7,12,6,1,19,11,95,1,0,1
7,2023-10-21,@,Stanford,W (42-7),27,45,60,268,1,17,24,1.4,0,62,292,4.7,10,3,2,15,10,113,1,1,2
8,2023-10-28,,Colorado,W (28-16),27,43,62.8,217,1,24,25,1,0,67,242,3.6,12,5,3,20,7,60,0,0,0
9,2023-11-04,@,Arizona,L (10-27),25,33,75.8,300,3,35,129,3.7,0,68,429,6.3,13,8,2,23,3,25,0,1,1
10,2023-11-11,,Arizona State,L (7-17),22,39,56.4,176,1,30,74,2.5,1,69,250,3.6,9,8,4,21,7,46,0,1,1
11,2023-11-18,@,Southern California,W (38-20),31,44,70.5,384,1,22,3,0.1,1,66,387,5.9,14,1,2,17,6,52,2,1,3
12,2023-11-25,,California,L (7-33),19,30,63.3,178,2,32,124,3.9,0,62,302,4.9,8,6,3,17,5,45,0,2,2
13,2023-12-16,N,Boise State*,W (35-22),12,21,57.1,117,0,37,215,5.8,2,58,332,5.7,5,8,2,15,4,25,0,1,1
1,2022-09-03,,Bowling Green State,W (45-17),17,36,47.2,125,1,25,37,1.5,0,61,162,2.7,5,4,0,9,6,60,1,0,1
2,2022-09-10,,Alabama State,W (45-7),18,32,56.3,223,1,36,87,2.4,0,68,310,4.6,9,7,2,18,8,71,1,2,3
3,2022-09-17,,South Alabama,W (32-31),26,36,72.2,237,1,34,162,4.8,3,70,399,5.7,13,7,2,22,4,35,1,1,2
4,2022-09-24,@,Colorado,W (45-17),26,42,61.9,258,1,34,51,1.5,1,76,309,4.1,8,8,3,19,5,40,1,1,2
5,2022-09-30,,Washington,W (40-32),33,49,67.3,345,4,23,65,2.8,0,72,410,5.7,17,5,2,24,9,98,0,2,2
6,2022-10-08,,Utah,W (42-32),23,34,67.6,287,0,43,192,4.5,3,77,479,6.2,14,14,3,31,4,29,1,1,2
7,2022-10-22,@,Oregon,L (30-45),22,28,78.6,283,5,46,262,5.7,1,74,545,7.4,11,19,1,31,8,50,0,0,0
8,2022-10-29,,Stanford,W (38-13),15,31,48.4,125,1,34,145,4.3,0,65,270,4.2,7,9,2,18,3,25,0,1,1
9,2022-11-05,@,Arizona State,W (50-36),38,49,77.6,349,2,31,119,3.8,2,80,468,5.9,20,6,4,30,6,65,0,1,1
10,2022-11-12,,Arizona,L (28-34),23,29,79.3,312,2,36,124,3.4,2,65,436,6.7,13,9,0,22,3,32,0,0,0
11,2022-11-19,,Southern California,L (45-48),32,43,74.4,470,2,38,179,4.7,4,81,649,8,18,11,1,30,5,44,0,1,1
12,2022-11-25,@,California,W (35-28),24,34,70.6,294,4,18,67,3.7,0,52,361,6.9,12,2,1,15,5,34,2,0,2
13,2022-12-30,N,Pittsburgh*,L (35-37),21,43,48.8,241,1,46,204,4.4,2,89,445,5,12,14,1,27,6,35,0,1,1
1,2021-08-28,,Hawaii,W (44-10),28,53,52.8,243,1,20,40,2,0,73,283,3.9,8,4,4,16,5,25,0,2,2
2,2021-09-04,,Louisiana State,W (38-27),26,46,56.5,330,3,25,48,1.9,0,71,378,5.3,17,4,3,24,2,10,0,1,1
3,2021-09-18,,Fresno State,L (37-40),39,53,73.6,455,2,37,114,3.1,3,90,569,6.3,20,10,2,32,8,55,2,1,3
4,2021-09-25,@,Stanford,W (35-24),19,32,59.4,293,3,22,67,3,0,54,360,6.7,9,2,0,11,4,25,0,0,0
5,2021-10-02,,Arizona State,L (23-42),13,19,68.4,287,2,31,182,5.9,3,50,469,9.4,8,7,2,17,6,51,1,0,1
6,2021-10-09,@,Arizona,W (34-16),26,38,68.4,240,1,42,122,2.9,0,80,362,4.5,11,11,5,27,12,81,2,0,2
7,2021-10-16,@,Washington,W (24-17),20,30,66.7,184,1,30,108,3.6,1,60,292,4.9,9,7,3,19,3,20,0,2,2
8,2021-10-23,,Oregon,L (31-34),29,39,74.4,296,0,24,121,5,5,63,417,6.6,14,7,1,22,9,57,1,2,3
9,2021-10-30,@,Utah,L (24-44),17,27,63,179,1,44,290,6.6,5,71,469,6.6,9,17,1,27,5,53,0,0,0
10,2021-11-13,,Colorado,W (44-20),18,29,62.1,166,0,47,192,4.1,2,76,358,4.7,6,12,2,20,7,48,1,0,1
11,2021-11-20,@,Southern California,W (62-33),27,47,57.4,325,1,39,159,4.1,3,86,484,5.6,13,12,2,27,8,78,0,2,2
12,2021-11-27,,California,W (42-14),16,31,51.6,125,0,32,92,2.9,2,63,217,3.4,8,6,2,16,3,25,0,2,2
