Rk,Date,raw_location,Opponent,Result,Drops
1,2023-09-02,H,Coastal Carolina,W (27-13),1
2,2023-09-09,@,San Diego State,W (35-10),3
3,2023-09-16,H,North Carolina Central,W (59-7),2
4,2023-09-23,@,Utah,L (7-14),5
5,2023-10-07,H,Washington State,W (25-17),2
6,2023-10-14,@,Oregon State,L (24-36),2
7,2023-10-21,@,Stanford,W (42-7),1
8,2023-10-28,H,Colorado,W (28-16),2
9,2023-11-04,@,Arizona,L (10-27),1
10,2023-11-11,H,Arizona State,L (7-17),2
11,2023-11-18,@,Southern California,W (38-20),3
12,2023-11-25,H,California,L (7-33),1
13,2023-12-16,N,Boise State*,W (35-22),2
1,2022-09-03,H,Bowling Green State,W (45-17),3
2,2022-09-10,H,Alabama State,W (45-7),1
3,2022-09-17,H,South Alabama,W (32-31),1
4,2022-09-24,@,Colorado,W (45-17),1
5,2022-09-30,H,Washington,W (40-32),0
6,2022-10-08,H,Utah,W (42-32),2
7,2022-10-22,@,Oregon,L (30-45),0
8,2022-10-29,H,Stanford,W (38-13),3
9,2022-11-05,@,Arizona State,W (50-36),1
10,2022-11-12,H,Arizona,L (28-34),1
11,2022-11-19,H,Southern California,L (45-48),2
12,2022-11-25,@,California,W (35-28),1
13,2022-12-30,N,Pittsburgh*,L (35-37),2
1,2021-08-28,H,Hawaii,W (44-10),2
2,2021-09-04,H,Louisiana State,W (38-27),1
3,2021-09-18,H,Fresno State,L (37-40),0
4,2021-09-25,@,Stanford,W (35-24),0
5,2021-10-02,H,Arizona State,L (23-42),2
6,2021-10-09,@,Arizona,W (34-16),3
7,2021-10-16,@,Washington,W (24-17),0
8,2021-10-23,H,Oregon,L (31-34),1
9,2021-10-30,@,Utah,L (24-44),4
10,2021-11-13,H,Colorado,W (44-20),1
11,2021-11-20,@,Southern California,W (62-33),1
12,2021-11-27,H,California,W (42-14),2
1,2020-11-07,@,Colorado,L (42-48),0
2,2020-11-15,H,California,W (34-10),1
3,2020-11-21,@,Oregon,L (35-38),2
4,2020-11-28,H,Arizona,W (27-10),1
5,2020-12-05,@,Arizona State,W (25-18),1
6,2020-12-12,H,Southern California,L (38-43),0
7,2020-12-19,H,Stanford,L (47-48),0
1,2019-08-29,@,Cincinnati,L (14-24),0
2,2019-09-07,H,San Diego State,L (14-23),1
3,2019-09-14,H,Oklahoma,L (14-48),0
4,2019-09-21,@,Washington State,W (67-63),3
5,2019-09-28,@,Arizona,L (17-20),4
6,2019-10-05,H,Oregon State,L (31-48),0
7,2019-10-17,@,Stanford,W (34-16),1
8,2019-10-26,H,Arizona State,W (42-32),0
9,2019-11-02,H,Colorado,W (31-14),2
10,2019-11-16,@,Utah,L (3-49),1
11,2019-11-23,@,Southern California,L (35-52),5
12,2019-11-30,H,California,L (18-28),0
1,2018-09-01,H,Cincinnati,L (17-26),2
2,2018-09-08,@,Oklahoma,L (21-49),3
3,2018-09-15,H,Fresno State,L (14-38),2
4,2018-09-28,@,Colorado,L (16-38),2
5,2018-10-06,H,Washington,L (24-31),0
6,2018-10-13,@,California,W (37-7),0
7,2018-10-20,H,Arizona,W (31-30),2
8,2018-10-26,H,Utah,L (10-41),5
9,2018-11-03,@,Oregon,L (21-42),4
10,2018-11-10,@,Arizona State,L (28-31),2
11,2018-11-17,H,Southern California,W (34-27),1
12,2018-11-24,H,Stanford,L (42-49),1
1,2017-09-03,H,Texas A&M,W (45-44),2
2,2017-09-09,H,Hawaii,W (56-23),2
3,2017-09-16,@,Memphis,L (45-48),4
4,2017-09-23,@,Stanford,L (34-58),3
5,2017-09-30,H,Colorado,W (27-23),3
6,2017-10-14,@,Arizona,L (30-47),5
7,2017-10-21,H,Oregon,W (31-14),2
8,2017-10-28,@,Washington,L (23-44),5
9,2017-11-03,@,Utah,L (17-48),1
10,2017-11-11,H,Arizona State,W (44-37),4
11,2017-11-18,@,Southern California,L (23-28),4
12,2017-11-24,H,California,W (30-27),2
13,2017-12-26,H,Kansas State*,L (17-35),4
1,2016-09-03,@,Texas A&M,L (24-31),5
2,2016-09-10,H,Nevada-Las Vegas,W (42-21),5
3,2016-09-17,@,Brigham Young,W (17-14),0
4,2016-09-24,H,Stanford,L (13-22),2
5,2016-10-01,H,Arizona,W (45-24),2
6,2016-10-08,@,Arizona State,L (20-23),3
7,2016-10-15,@,Washington State,L (21-27),4
8,2016-10-22,H,Utah,L (45-52),6
9,2016-11-03,@,Colorado,L (10-20),4
10,2016-11-12,H,Oregon State,W (38-24),5
11,2016-11-19,H,Southern California,L (14-36),3
12,2016-11-26,@,California,L (10-36),3
1,2015-09-05,H,Virginia,W (34-16),2
2,2015-09-12,@,Nevada-Las Vegas,W (37-3),7
3,2015-09-19,H,Brigham Young,W (24-23),1
4,2015-09-26,@,Arizona,W (56-30),2
5,2015-10-03,H,Arizona State,L (23-38),3
6,2015-10-15,@,Stanford,L (35-56),3
7,2015-10-22,H,California,W (40-24),1
8,2015-10-31,H,Colorado,W (35-31),0
9,2015-11-07,@,Oregon State,W (41-0),2
10,2015-11-14,H,Washington State,L (27-31),5
11,2015-11-21,@,Utah,W (17-9),1
12,2015-11-28,@,Southern California,L (21-40),1
13,2015-12-26,N,Nebraska*,L (29-37),2
1,2014-08-30,@,Virginia,W (28-20),4
2,2014-09-06,H,Memphis,W (42-35),4
3,2014-09-13,N,Texas,W (20-17),0
4,2014-09-25,@,Arizona State,W (62-27),2
5,2014-10-04,H,Utah,L (28-30),0
6,2014-10-11,H,Oregon,L (30-42),2
7,2014-10-18,@,California,W (36-34),1
8,2014-10-25,@,Colorado,W (40-37),3
9,2014-11-01,H,Arizona,W (17-7),2
10,2014-11-08,@,Washington,W (44-30),1
11,2014-11-22,H,Southern California,W (38-20),0
12,2014-11-28,H,Stanford,L (10-31),1
13,2015-01-02,N,Kansas State*,W (40-35),2
1,2013-08-31,H,Nevada,W (58-20),NA
2,2013-09-14,@,Nebraska,W (41-21),NA
3,2013-09-21,H,New Mexico State,W (59-13),NA
4,2013-10-03,@,Utah,W (34-27),NA
5,2013-10-12,H,California,W (37-10),NA
6,2013-10-19,@,Stanford,L (10-24),NA
7,2013-10-26,@,Oregon,L (14-42),1
8,2013-11-02,H,Colorado,W (45-23),NA
9,2013-11-09,@,Arizona,W (31-26),NA
