Rk,Date,,Opponent,Result
1,2023-09-02,,Coastal Carolina,W (27-13)
2,2023-09-09,@,San Diego State,W (35-10)
3,2023-09-16,,North Carolina Central,W (59-7)
4,2023-09-23,@,Utah,L (7-14)
5,2023-10-07,,Washington State,W (25-17)
6,2023-10-14,@,Oregon State,L (24-36)
7,2023-10-21,@,Stanford,W (42-7)
8,2023-10-28,,Colorado,W (28-16)
9,2023-11-04,@,Arizona,L (10-27)
10,2023-11-11,,Arizona State,L (7-17)
11,2023-11-18,@,Southern California,W (38-20)
12,2023-11-25,,California,L (7-33)
13,2023-12-16,N,Boise State*,W (35-22)
1,2022-09-03,,Bowling Green State,W (45-17)
2,2022-09-10,,Alabama State,W (45-7)
3,2022-09-17,,South Alabama,W (32-31)
4,2022-09-24,@,Colorado,W (45-17)
5,2022-09-30,,Washington,W (40-32)
6,2022-10-08,,Utah,W (42-32)
7,2022-10-22,@,Oregon,L (30-45)
8,2022-10-29,,Stanford,W (38-13)
9,2022-11-05,@,Arizona State,W (50-36)
10,2022-11-12,,Arizona,L (28-34)
11,2022-11-19,,Southern California,L (45-48)
12,2022-11-25,@,California,W (35-28)
13,2022-12-30,N,Pittsburgh*,L (35-37)
1,2021-08-28,,Hawaii,W (44-10)
2,2021-09-04,,Louisiana State,W (38-27)
3,2021-09-18,,Fresno State,L (37-40)
4,2021-09-25,@,Stanford,W (35-24)
5,2021-10-02,,Arizona State,L (23-42)
6,2021-10-09,@,Arizona,W (34-16)
7,2021-10-16,@,Washington,W (24-17)
8,2021-10-23,,Oregon,L (31-34)
9,2021-10-30,@,Utah,L (24-44)
10,2021-11-13,,Colorado,W (44-20)
11,2021-11-20,@,Southern California,W (62-33)
12,2021-11-27,,California,W (42-14)
1,2020-11-07,@,Colorado,L (42-48)
2,2020-11-15,,California,W (34-10)
3,2020-11-21,@,Oregon,L (35-38)
4,2020-11-28,,Arizona,W (27-10)
5,2020-12-05,@,Arizona State,W (25-18)
6,2020-12-12,,Southern California,L (38-43)
7,2020-12-19,,Stanford,L (47-48)
1,2019-08-29,@,Cincinnati,L (14-24)
2,2019-09-07,,San Diego State,L (14-23)
3,2019-09-14,,Oklahoma,L (14-48)
4,2019-09-21,@,Washington State,W (67-63)
5,2019-09-28,@,Arizona,L (17-20)
6,2019-10-05,,Oregon State,L (31-48)
7,2019-10-17,@,Stanford,W (34-16)
8,2019-10-26,,Arizona State,W (42-32)
9,2019-11-02,,Colorado,W (31-14)
10,2019-11-16,@,Utah,L (3-49)
11,2019-11-23,@,Southern California,L (35-52)
12,2019-11-30,,California,L (18-28)
1,2018-09-01,,Cincinnati,L (17-26)
2,2018-09-08,@,Oklahoma,L (21-49)
3,2018-09-15,,Fresno State,L (14-38)
4,2018-09-28,@,Colorado,L (16-38)
5,2018-10-06,,Washington,L (24-31)
6,2018-10-13,@,California,W (37-7)
7,2018-10-20,,Arizona,W (31-30)
8,2018-10-26,,Utah,L (10-41)
9,2018-11-03,@,Oregon,L (21-42)
10,2018-11-10,@,Arizona State,L (28-31)
11,2018-11-17,,Southern California,W (34-27)
12,2018-11-24,,Stanford,L (42-49)
1,2017-09-03,,Texas A&M,W (45-44)
2,2017-09-09,,Hawaii,W (56-23)
