Rk,Date,,Opponent,Result,pass_cmp,pass_att,completion_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_tds,total_plays,total_yards,avg_yds,pass_first_downs,rush_first_downs,first_down_pens,total_first_downs,total_penalties,total_penalties_yds,total_fum,total_int,total_to
1,2023-09-02,,Coastal Carolina,W (27-13),17,29,58.6,264,3,31,153,4.9,0,60,417,7,11,7,2,20,8,55,0,3,3
2,2023-09-09,@,San Diego State,W (35-10),18,29,62.1,296,3,39,254,6.5,2,68,550,8.1,12,12,2,26,7,89,2,0,2
3,2023-09-16,,North Carolina Central,W (59-7),10,17,58.8,210,2,39,404,10.4,6,56,614,11,8,14,0,22,3,20,0,1,1
4,2023-09-23,@,Utah,L (7-14),15,35,42.9,234,1,32,9,0.3,0,67,243,3.6,7,2,2,11,6,36,1,1,2
5,2023-10-07,,Washington State,W (25-17),22,44,50,290,1,53,181,3.4,2,97,471,4.9,13,11,0,24,8,60,0,2,2
6,2023-10-14,@,Oregon State,L (24-36),15,34,44.1,166,1,51,287,5.6,2,85,453,5.3,9,16,2,27,9,60,0,3,3
7,2023-10-21,@,Stanford,W (42-7),25,34,73.5,282,2,54,221,4.1,4,88,503,5.7,13,14,5,32,5,40,0,0,0
8,2023-10-28,,Colorado,W (28-16),20,28,71.4,269,2,45,218,4.8,2,73,487,6.7,13,10,3,26,9,85,2,2,4
9,2023-11-04,@,Arizona,L (10-27),17,33,51.5,157,1,29,114,3.9,0,62,271,4.4,9,8,0,17,5,44,0,0,0
10,2023-11-11,,Arizona State,L (7-17),11,21,52.4,117,1,37,183,4.9,0,58,300,5.2,6,9,0,15,9,86,1,0,1
11,2023-11-18,@,Southern California,W (38-20),18,31,58.1,155,3,45,199,4.4,1,76,354,4.7,10,9,0,19,6,50,0,0,0
12,2023-11-25,,California,L (7-33),30,47,63.8,309,1,36,70,1.9,0,83,379,4.6,17,5,1,23,5,41,2,2,4
13,2023-12-16,N,Boise State*,W (35-22),20,28,71.4,230,3,36,280,7.8,2,64,510,8,5,13,0,18,12,89,0,0,0
1,2022-09-03,,Bowling Green State,W (45-17),35,47,74.5,357,3,45,269,6,3,92,626,6.8,15,14,0,29,9,60,1,1,2
2,2022-09-10,,Alabama State,W (45-7),23,30,76.7,265,1,38,220,5.8,5,68,485,7.1,13,11,4,28,6,65,0,1,1
3,2022-09-17,,South Alabama,W (32-31),20,30,66.7,263,3,37,144,3.9,0,67,407,6.1,11,9,3,23,4,42,2,0,2
4,2022-09-24,@,Colorado,W (45-17),22,29,75.9,266,3,34,249,7.3,3,63,515,8.2,14,10,1,25,8,70,0,0,0
5,2022-09-30,,Washington,W (40-32),24,33,72.7,315,3,39,184,4.7,2,72,499,6.9,16,9,2,27,7,39,0,0,0
6,2022-10-08,,Utah,W (42-32),18,23,78.3,299,4,38,203,5.3,2,61,502,8.2,11,9,1,21,11,68,0,1,1
7,2022-10-22,@,Oregon,L (30-45),27,39,69.2,262,2,30,186,6.2,1,69,448,6.5,17,8,1,26,6,65,0,1,1
8,2022-10-29,,Stanford,W (38-13),18,29,62.1,199,0,45,324,7.2,5,74,523,7.1,9,16,1,26,6,50,1,0,1
9,2022-11-05,@,Arizona State,W (50-36),13,20,65,169,2,42,402,9.6,5,62,571,9.2,7,16,1,24,6,75,1,1,2
10,2022-11-12,,Arizona,L (28-34),26,39,66.7,245,1,37,219,5.9,3,76,464,6.1,10,14,2,26,4,23,1,0,1
11,2022-11-19,,Southern California,L (45-48),23,38,60.5,309,4,37,204,5.5,2,75,513,6.8,12,13,2,27,6,35,2,3,5
12,2022-11-25,@,California,W (35-28),21,30,70,189,1,64,352,5.5,3,94,541,5.8,10,23,0,33,7,45,0,0,0
13,2022-12-30,N,Pittsburgh*,L (35-37),22,33,66.7,325,2,28,128,4.6,2,61,453,7.4,13,6,0,19,4,45,1,4,5
1,2021-08-28,,Hawaii,W (44-10),12,22,54.5,148,1,41,252,6.1,4,63,400,6.3,8,12,0,20,7,85,0,0,0
2,2021-09-04,,Louisiana State,W (38-27),9,16,56.3,260,3,43,223,5.2,2,59,483,8.2,7,12,0,19,8,73,0,1,1
3,2021-09-18,,Fresno State,L (37-40),14,24,58.3,278,3,29,117,4,2,53,395,7.5,9,7,1,17,5,29,2,0,2
4,2021-09-25,@,Stanford,W (35-24),18,29,62.1,251,2,49,216,4.4,3,78,467,6,11,13,0,24,6,105,0,0,0
5,2021-10-02,,Arizona State,L (23-42),21,32,65.6,235,1,51,216,4.2,1,83,451,5.4,12,9,2,23,8,89,0,0,0
6,2021-10-09,@,Arizona,W (34-16),8,19,42.1,82,1,47,329,7,3,66,411,6.2,6,14,2,22,8,95,1,1,2
7,2021-10-16,@,Washington,W (24-17),21,26,80.8,183,2,37,246,6.6,1,63,429,6.8,7,15,0,22,6,60,0,0,0
8,2021-10-23,,Oregon,L (31-34),24,46,52.2,242,1,45,110,2.4,3,91,352,3.9,14,11,3,28,8,50,1,2,3
9,2021-10-30,@,Utah,L (24-44),27,44,61.4,265,2,35,146,4.2,1,79,411,5.2,12,9,3,24,7,45,0,1,1
10,2021-11-13,,Colorado,W (44-20),18,26,69.2,257,0,41,244,6,5,67,501,7.5,10,13,4,27,9,67,0,1,1
11,2021-11-20,@,Southern California,W (62-33),16,22,72.7,349,4,44,260,5.9,4,66,609,9.2,14,13,3,30,8,74,0,2,2
12,2021-11-27,,California,W (42-14),19,28,67.9,164,3,44,282,6.4,2,72,446,6.2,7,18,1,26,6,47,1,0,1
1,2020-11-07,@,Colorado,L (42-48),20,40,50,303,4,24,180,7.5,2,64,483,7.5,13,5,5,23,9,69,3,1,4
2,2020-11-15,,California,W (34-10),14,26,53.8,196,3,54,244,4.5,2,80,440,5.5,8,14,1,23,6,50,0,1,1
3,2020-11-21,@,Oregon,L (35-38),19,31,61.3,195,1,51,267,5.2,3,82,462,5.6,10,16,1,27,8,60,2,2,4
4,2020-11-28,,Arizona,W (27-10),12,20,60,129,1,56,281,5,2,76,410,5.4,5,17,1,23,6,43,0,0,0
5,2020-12-05,@,Arizona State,W (25-18),18,24,75,192,1,39,171,4.4,2,63,363,5.8,8,10,4,22,5,37,0,0,0
6,2020-12-12,,Southern California,L (38-43),30,36,83.3,364,4,43,185,4.3,1,79,549,6.9,15,11,1,27,6,45,1,2,3
7,2020-12-19,,Stanford,L (47-48),17,23,73.9,192,4,51,291,5.7,1,74,483,6.5,9,17,1,27,8,70,1,0,1
1,2019-08-29,@,Cincinnati,L (14-24),8,26,30.8,156,2,36,62,1.7,0,62,218,3.5,5,4,3,12,9,60,2,2,4
2,2019-09-07,,San Diego State,L (14-23),24,35,68.6,199,1,32,62,1.9,1,67,261,3.9,10,5,1,16,7,52,2,0,2
3,2019-09-14,,Oklahoma,L (14-48),15,26,57.7,201,2,37,110,3,0,63,311,4.9,10,9,2,21,6,38,0,2,2
4,2019-09-21,@,Washington State,W (67-63),25,38,65.8,507,5,37,150,4.1,2,75,657,8.8,15,9,4,28,10,105,0,1,1
5,2019-09-28,@,Arizona,L (17-20),22,42,52.4,228,1,43,217,5,1,85,445,5.2,13,10,2,25,5,40,0,1,1
6,2019-10-05,,Oregon State,L (31-48),27,41,65.9,236,1,48,256,5.3,3,89,492,5.5,12,14,1,27,2,25,0,0,0
7,2019-10-17,@,Stanford,W (34-16),21,34,61.8,192,2,43,263,6.1,2,77,455,5.9,9,10,1,20,8,72,0,1,1
8,2019-10-26,,Arizona State,W (42-32),16,23,69.6,176,2,57,217,3.8,4,80,393,4.9,9,16,2,27,9,47,3,0,3
9,2019-11-02,,Colorado,W (31-14),21,28,75,226,2,46,200,4.3,2,74,426,5.8,12,11,1,24,8,95,0,1,1
10,2019-11-16,@,Utah,L (3-49),20,36,55.6,219,0,37,50,1.4,0,73,269,3.7,11,7,0,18,2,10,3,2,5
11,2019-11-23,@,Southern California,L (35-52),30,49,61.2,383,3,39,157,4,2,88,540,6.1,15,10,2,27,10,73,0,1,1
12,2019-11-30,,California,L (18-28),31,48,64.6,343,1,35,58,1.7,1,83,401,4.8,16,6,2,24,5,46,0,1,1
1,2018-09-01,,Cincinnati,L (17-26),23,37,62.2,162,0,31,144,4.6,2,68,306,4.5,10,4,1,15,6,26,0,1,1
2,2018-09-08,@,Oklahoma,L (21-49),16,26,61.5,254,1,50,129,2.6,2,76,383,5,11,9,0,20,6,77,0,0,0
3,2018-09-15,,Fresno State,L (14-38),10,24,41.7,151,1,31,119,3.8,1,55,270,4.9,6,5,3,14,11,96,2,2,4
4,2018-09-28,@,Colorado,L (16-38),17,35,48.6,138,1,28,151,5.4,0,63,289,4.6,5,8,2,15,8,67,0,0,0
5,2018-10-06,,Washington,L (24-31),27,38,71.1,272,2,27,150,5.6,1,65,422,6.5,12,8,0,20,4,45,0,1,1
6,2018-10-13,@,California,W (37-7),13,15,86.7,141,0,55,207,3.8,3,70,348,5,6,12,2,20,4,30,0,0,0
7,2018-10-20,,Arizona,W (31-30),22,35,62.9,307,3,47,153,3.3,1,82,460,5.6,14,6,3,23,12,103,1,0,1
8,2018-10-26,,Utah,L (10-41),20,40,50,164,0,26,127,4.9,1,66,291,4.4,7,9,1,17,5,40,1,2,3
9,2018-11-03,@,Oregon,L (21-42),23,49,46.9,297,2,38,199,5.2,1,87,496,5.7,14,15,0,29,11,64,2,1,3
10,2018-11-10,@,Arizona State,L (28-31),26,35,74.3,335,2,29,104,3.6,1,64,439,6.9,17,4,3,24,7,58,0,1,1
11,2018-11-17,,Southern California,W (34-27),13,22,59.1,166,1,51,318,6.2,3,73,484,6.6,10,12,3,25,2,15,0,1,1
12,2018-11-24,,Stanford,L (42-49),29,47,61.7,466,0,37,62,1.7,4,84,528,6.3,22,6,3,31,6,63,1,1,2
1,2017-09-03,,Texas A&M,W (45-44),35,59,59.3,491,4,25,63,2.5,2,84,554,6.6,24,3,2,29,7,56,3,0,3
2,2017-09-09,,Hawaii,W (56-23),24,29,82.8,373,5,26,132,5.1,2,55,505,9.2,17,6,2,25,10,83,0,0,0
3,2017-09-16,@,Memphis,L (45-48),34,56,60.7,463,4,35,170,4.9,2,91,633,7,20,9,2,31,10,99,1,2,3
4,2017-09-23,@,Stanford,L (34-58),40,60,66.7,480,3,15,115,7.7,1,75,595,7.9,19,6,2,27,13,132,2,2,4
5,2017-09-30,,Colorado,W (27-23),28,45,62.2,372,1,35,95,2.7,2,80,467,5.8,16,9,0,25,9,85,0,1,1
6,2017-10-14,@,Arizona,L (30-47),20,34,58.8,219,0,38,190,5,4,72,409,5.7,11,11,6,28,7,80,1,3,4
7,2017-10-21,,Oregon,W (31-14),21,36,58.3,266,2,37,142,3.8,2,73,408,5.6,11,11,0,22,7,67,0,0,0
