,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,,,
Rk,Date,,Opponent,,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,2023-08-26,,San Jose State,W (56-28),21,39,53.8,198,3,27,198,7.3,1,66,396,6,9,10,4,23,3,21,0,0,0
2,2023-09-02,,Nevada,W (66-14),22,34,64.7,311,1,38,49,1.3,1,72,360,5,8,2,2,12,4,49,1,0,1
3,2023-09-09,,Stanford,W (56-10),10,25,40,140,0,41,209,5.1,1,66,349,5.3,7,9,4,20,5,40,2,1,3
4,2023-09-23,@,Arizona State,W (42-28),23,39,59,263,2,32,90,2.8,1,71,353,5,11,8,2,21,4,26,1,1,2
5,2023-09-30,@,Colorado,W (48-41),30,45,66.7,371,4,45,193,4.3,2,90,564,6.3,12,17,3,32,7,60,0,1,1
6,2023-10-07,,Arizona,W (43-41),25,35,71.4,303,5,42,203,4.8,0,77,506,6.6,14,12,2,28,12,99,0,1,1
7,2023-10-14,@,Notre Dame,L (20-48),13,20,65,126,2,29,125,4.3,2,49,251,5.1,6,7,0,13,5,54,0,0,0
8,2023-10-21,,Utah,L (32-34),14,23,60.9,235,3,47,247,5.3,1,70,482,6.9,8,12,3,23,8,50,0,1,1
9,2023-10-28,@,California,W (50-49),25,39,64.1,292,2,42,235,5.6,5,81,527,6.5,15,8,6,29,5,45,3,1,4
10,2023-11-04,,Washington,L (42-52),22,30,73.3,256,2,42,316,7.5,5,72,572,7.9,15,10,2,27,6,52,0,1,1
11,2023-11-11,@,Oregon,L (27-36),23,32,71.9,412,4,31,140,4.5,1,63,552,8.8,15,8,3,26,13,120,0,0,0
12,2023-11-18,,UCLA,L (20-38),18,31,58.1,155,3,45,199,4.4,1,76,354,4.7,10,9,0,19,6,50,0,0,0
13,2023-12-27,N,Louisville*,W (42-28),21,25,84,141,0,45,220,4.9,4,70,361,5.2,4,15,3,22,4,44,2,0,2
1,2022-09-03,,Rice,W (66-14),14,28,50,134,0,34,146,4.3,2,62,280,4.5,7,6,1,14,4,55,0,4,4
2,2022-09-10,@,Stanford,W (41-28),20,35,57.1,220,1,45,221,4.9,3,80,441,5.5,14,14,5,33,5,42,2,2,4
3,2022-09-17,,Fresno State,W (45-17),21,30,70,257,1,32,164,5.1,1,62,421,6.8,14,7,2,23,3,17,1,1,2
4,2022-09-24,@,Oregon State,W (17-14),17,29,58.6,167,0,31,153,4.9,2,60,320,5.3,9,8,1,18,6,35,0,4,4
5,2022-10-01,,Arizona State,W (42-25),23,32,71.9,243,1,29,88,3,2,61,331,5.4,11,7,2,20,7,74,0,1,1
6,2022-10-08,,Washington State,W (30-14),19,32,59.4,172,2,29,144,5,0,61,316,5.2,9,7,1,17,11,106,0,0,0
7,2022-10-15,@,Utah,L (42-43),31,45,68.9,424,2,32,138,4.3,4,77,562,7.3,18,9,4,31,5,42,1,0,1
8,2022-10-29,@,Arizona,W (45-37),26,43,60.5,380,3,26,163,6.3,1,69,543,7.9,14,11,3,28,8,76,0,1,1
9,2022-11-05,,California,W (41-35),35,49,71.4,406,3,24,63,2.6,2,73,469,6.4,14,5,3,22,5,35,0,1,1
10,2022-11-11,,Colorado,W (55-17),11,21,52.4,124,0,35,135,3.9,2,56,259,4.6,7,7,0,14,9,68,1,1,2
11,2022-11-19,@,UCLA,W (48-45),23,38,60.5,309,4,37,204,5.5,2,75,513,6.8,12,13,2,27,6,35,2,3,5
12,2022-11-26,,Notre Dame,W (38-27),23,26,88.5,318,3,26,90,3.5,1,52,408,7.8,15,6,1,22,4,39,1,1,2
13,2022-12-02,N,Utah,L (24-47),22,34,64.7,310,3,35,223,6.4,3,69,533,7.7,12,11,2,25,5,45,1,0,1
14,2023-01-02,N,Tulane*,L (45-46),8,18,44.4,234,2,34,305,9,4,52,539,10.4,6,9,1,16,4,30,1,0,1
1,2021-09-04,,San Jose State,W (30-7),24,46,52.2,308,0,19,68,3.6,1,65,376,5.8,14,3,1,18,10,93,0,2,2
2,2021-09-11,,Stanford,L (28-42),16,23,69.6,234,2,30,141,4.7,3,53,375,7.1,9,4,5,18,5,27,0,0,0
3,2021-09-18,@,Washington State,W (45-14),20,34,58.8,180,2,30,99,3.3,0,64,279,4.4,9,5,1,15,7,51,2,2,4
4,2021-09-25,,Oregon State,L (27-45),15,19,78.9,213,4,51,322,6.3,2,70,535,7.6,9,18,4,31,14,154,0,2,2
5,2021-10-02,@,Colorado,W (37-14),10,17,58.8,162,1,39,80,2.1,1,56,242,4.3,5,4,2,11,7,79,1,1,2
6,2021-10-09,,Utah,L (26-42),22,28,78.6,306,3,35,180,5.1,3,63,486,7.7,13,7,3,23,2,30,0,0,0
7,2021-10-23,@,Notre Dame,L (16-31),22,30,73.3,213,1,39,174,4.5,3,69,387,5.6,12,10,4,26,4,39,0,1,1
