Rk,Date,raw_location,Opponent,Result,Drops
1,2023-08-26,H,San Jose State,W (56-28),3
2,2023-09-02,H,Nevada,W (66-14),1
3,2023-09-09,H,Stanford,W (56-10),1
4,2023-09-23,@,Arizona State,W (42-28),2
5,2023-09-30,@,Colorado,W (48-41),0
6,2023-10-07,H,Arizona,W (43-41),0
7,2023-10-14,@,Notre Dame,L (20-48),3
8,2023-10-21,H,Utah,L (32-34),1
9,2023-10-28,@,California,W (50-49),1
10,2023-11-04,H,Washington,L (42-52),1
11,2023-11-11,@,Oregon,L (27-36),1
12,2023-11-18,H,UCLA,L (20-38),0
13,2023-12-27,N,Louisville*,W (42-28),2
1,2022-09-03,H,Rice,W (66-14),1
2,2022-09-10,@,Stanford,W (41-28),0
3,2022-09-17,H,Fresno State,W (45-17),3
4,2022-09-24,@,Oregon State,W (17-14),3
5,2022-10-01,H,Arizona State,W (42-25),1
6,2022-10-08,H,Washington State,W (30-14),4
7,2022-10-15,@,Utah,L (42-43),1
8,2022-10-29,@,Arizona,W (45-37),3
9,2022-11-05,H,California,W (41-35),3
10,2022-11-11,H,Colorado,W (55-17),2
11,2022-11-19,@,UCLA,W (48-45),3
12,2022-11-26,H,Notre Dame,W (38-27),0
13,2022-12-02,N,Utah,L (24-47),1
14,2023-01-02,N,Tulane*,L (45-46),2
1,2021-09-04,H,San Jose State,W (30-7),1
2,2021-09-11,H,Stanford,L (28-42),2
3,2021-09-18,@,Washington State,W (45-14),3
4,2021-09-25,H,Oregon State,L (27-45),4
5,2021-10-02,@,Colorado,W (37-14),2
6,2021-10-09,H,Utah,L (26-42),4
7,2021-10-23,@,Notre Dame,L (16-31),1
8,2021-10-30,H,Arizona,W (41-34),0
9,2021-11-06,@,Arizona State,L (16-31),4
10,2021-11-20,H,UCLA,L (33-62),3
11,2021-11-27,H,Brigham Young,L (31-35),2
12,2021-12-04,@,California,L (14-24),2
1,2020-11-07,H,Arizona State,W (28-27),2
2,2020-11-14,@,Arizona,W (34-30),2
3,2020-11-21,@,Utah,W (33-17),2
4,2020-12-06,H,Washington State,W (38-13),1
5,2020-12-12,@,UCLA,W (43-38),2
6,2020-12-18,H,Oregon,L (24-31),2
1,2019-08-31,H,Fresno State,W (31-23),3
2,2019-09-07,H,Stanford,W (45-20),1
3,2019-09-14,@,Brigham Young,L (27-30),0
4,2019-09-20,H,Utah,W (30-23),1
5,2019-09-28,@,Washington,L (14-28),1
6,2019-10-12,@,Notre Dame,L (27-30),4
7,2019-10-19,H,Arizona,W (41-14),0
8,2019-10-25,@,Colorado,W (35-31),3
9,2019-11-02,H,Oregon,L (24-56),2
10,2019-11-09,@,Arizona State,W (31-26),0
11,2019-11-16,@,California,W (41-17),1
12,2019-11-23,H,UCLA,W (52-35),4
13,2019-12-27,N,Iowa*,L (24-49),1
1,2018-09-01,H,Nevada-Las Vegas,W (43-21),0
