Rk,Date,,Opponent,Result
1,2023-08-26,,San Jose State,W (56-28)
2,2023-09-02,,Nevada,W (66-14)
3,2023-09-09,,Stanford,W (56-10)
4,2023-09-23,@,Arizona State,W (42-28)
5,2023-09-30,@,Colorado,W (48-41)
6,2023-10-07,,Arizona,W (43-41)
7,2023-10-14,@,Notre Dame,L (20-48)
8,2023-10-21,,Utah,L (32-34)
9,2023-10-28,@,California,W (50-49)
10,2023-11-04,,Washington,L (42-52)
11,2023-11-11,@,Oregon,L (27-36)
12,2023-11-18,,UCLA,L (20-38)
13,2023-12-27,N,Louisville*,W (42-28)
1,2022-09-03,,Rice,W (66-14)
2,2022-09-10,@,Stanford,W (41-28)
3,2022-09-17,,Fresno State,W (45-17)
4,2022-09-24,@,Oregon State,W (17-14)
5,2022-10-01,,Arizona State,W (42-25)
6,2022-10-08,,Washington State,W (30-14)
7,2022-10-15,@,Utah,L (42-43)
8,2022-10-29,@,Arizona,W (45-37)
9,2022-11-05,,California,W (41-35)
10,2022-11-11,,Colorado,W (55-17)
11,2022-11-19,@,UCLA,W (48-45)
12,2022-11-26,,Notre Dame,W (38-27)
13,2022-12-02,N,Utah,L (24-47)
14,2023-01-02,N,Tulane*,L (45-46)
1,2021-09-04,,San Jose State,W (30-7)
2,2021-09-11,,Stanford,L (28-42)
3,2021-09-18,@,Washington State,W (45-14)
4,2021-09-25,,Oregon State,L (27-45)
5,2021-10-02,@,Colorado,W (37-14)
6,2021-10-09,,Utah,L (26-42)
7,2021-10-23,@,Notre Dame,L (16-31)
8,2021-10-30,,Arizona,W (41-34)
9,2021-11-06,@,Arizona State,L (16-31)
10,2021-11-20,,UCLA,L (33-62)
11,2021-11-27,,Brigham Young,L (31-35)
12,2021-12-04,@,California,L (14-24)
1,2020-11-07,,Arizona State,W (28-27)
2,2020-11-14,@,Arizona,W (34-30)
3,2020-11-21,@,Utah,W (33-17)
4,2020-12-06,,Washington State,W (38-13)
5,2020-12-12,@,UCLA,W (43-38)
6,2020-12-18,,Oregon,L (24-31)
1,2019-08-31,,Fresno State,W (31-23)
2,2019-09-07,,Stanford,W (45-20)
3,2019-09-14,@,Brigham Young,L (27-30)
4,2019-09-20,,Utah,W (30-23)
5,2019-09-28,@,Washington,L (14-28)
6,2019-10-12,@,Notre Dame,L (27-30)
7,2019-10-19,,Arizona,W (41-14)
8,2019-10-25,@,Colorado,W (35-31)
9,2019-11-02,,Oregon,L (24-56)
10,2019-11-09,@,Arizona State,W (31-26)
11,2019-11-16,@,California,W (41-17)
12,2019-11-23,,UCLA,W (52-35)
13,2019-12-27,N,Iowa*,L (24-49)
1,2018-09-01,,Nevada-Las Vegas,W (43-21)
