Rk,Date,raw_location,Opponent,Result,pass_cmp,pass_att,completion_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_tds,total_plays,total_yards,avg_yds,pass_first_downs,rush_first_downs,first_down_pens,total_first_downs,total_penalties,total_penalties_yds,total_fum,total_int,total_to
1,2023-08-26,H,San Jose State,W (56-28),24,35,68.6,341,4,34,160,4.7,3,69,501,7.3,15,10,0,25,8,57,0,0,0
2,2023-09-02,H,Nevada,W (66-14),25,34,73.5,453,6,20,215,10.8,2,54,668,12.4,19,7,2,28,8,75,1,0,1
3,2023-09-09,H,Stanford,W (56-10),30,36,83.3,393,3,28,180,6.4,4,64,573,9,18,9,0,27,11,130,0,0,0
4,2023-09-23,@,Arizona State,W (42-28),20,31,64.5,322,3,29,213,7.3,2,60,535,8.9,13,8,1,22,10,85,1,0,1
5,2023-09-30,@,Colorado,W (48-41),30,40,75,403,6,25,95,3.8,1,65,498,7.7,20,5,1,26,6,53,0,1,1
6,2023-10-07,H,Arizona,W (43-41),14,25,56,219,1,33,146,4.4,5,58,365,6.3,7,8,8,23,8,72,1,0,1
7,2023-10-14,@,Notre Dame,L (20-48),23,37,62.2,199,1,37,109,2.9,1,74,308,4.2,13,6,4,23,9,75,2,3,5
8,2023-10-21,H,Utah,L (32-34),24,35,68.6,256,0,23,145,6.3,3,58,401,6.9,11,7,0,18,6,47,1,0,1
9,2023-10-28,@,California,W (50-49),23,40,57.5,369,2,40,137,3.4,5,80,506,6.3,14,6,0,20,11,101,1,0,1
10,2023-11-04,H,Washington,L (42-52),27,36,75,312,3,27,203,7.5,3,63,515,8.2,11,12,1,24,6,65,1,0,1
11,2023-11-11,@,Oregon,L (27-36),20,35,57.1,306,1,25,73,2.9,3,60,379,6.3,13,6,3,22,6,45,1,0,1
12,2023-11-18,H,UCLA,L (20-38),31,44,70.5,384,1,22,3,0.1,1,66,387,5.9,14,1,2,17,6,52,2,1,3
13,2023-12-27,N,Louisville*,W (42-28),23,33,69.7,372,6,19,71,3.7,0,52,443,8.5,15,3,1,19,3,32,0,1,1
1,2022-09-03,H,Rice,W (66-14),25,30,83.3,330,2,28,208,7.4,4,58,538,9.3,14,11,2,27,6,60,0,0,0
2,2022-09-10,@,Stanford,W (41-28),20,27,74.1,341,4,36,164,4.6,1,63,505,8,14,8,2,24,9,104,0,0,0
3,2022-09-17,H,Fresno State,W (45-17),25,37,67.6,284,2,38,233,6.1,4,75,517,6.9,14,13,2,29,4,50,0,0,0
4,2022-09-24,@,Oregon State,W (17-14),16,36,44.4,180,1,37,177,4.8,1,73,357,4.9,8,13,0,21,6,46,0,0,0
5,2022-10-01,H,Arizona State,W (42-25),27,37,73,348,3,30,137,4.6,3,67,485,7.2,16,10,3,29,8,65,0,1,1
6,2022-10-08,H,Washington State,W (30-14),15,29,51.7,188,2,40,181,4.5,1,69,369,5.3,7,11,5,23,5,50,0,0,0
7,2022-10-15,@,Utah,L (42-43),25,42,59.5,381,5,27,175,6.5,1,69,556,8.1,16,10,2,28,12,93,0,0,0
8,2022-10-29,@,Arizona,W (45-37),31,45,68.9,411,5,32,210,6.6,1,77,621,8.1,12,10,4,26,5,51,0,0,0
9,2022-11-05,H,California,W (41-35),26,41,63.4,360,4,28,155,5.5,2,69,515,7.5,17,7,0,24,5,36,1,0,1
10,2022-11-11,H,Colorado,W (55-17),20,33,60.6,346,4,41,185,4.5,3,74,531,7.2,13,12,2,27,8,82,0,1,1
11,2022-11-19,@,UCLA,W (48-45),32,43,74.4,470,2,38,179,4.7,4,81,649,8,18,11,1,30,5,44,0,1,1
12,2022-11-26,H,Notre Dame,W (38-27),18,22,81.8,232,1,39,204,5.2,4,61,436,7.1,10,11,2,23,6,55,0,0,0
13,2022-12-02,N,Utah,L (24-47),28,41,68.3,363,3,27,56,2.1,0,68,419,6.2,14,5,0,19,4,39,1,1,2
14,2023-01-02,N,Tulane*,L (45-46),37,52,71.2,462,5,32,132,4.1,1,84,594,7.1,22,6,1,29,5,37,0,1,1
1,2021-09-04,H,San Jose State,W (30-7),24,36,66.7,256,2,34,160,4.7,0,70,416,5.9,12,9,1,23,4,35,1,0,1
2,2021-09-11,H,Stanford,L (28-42),27,42,64.3,223,1,33,185,5.6,2,75,408,5.4,10,13,1,24,9,111,0,1,1
3,2021-09-18,@,Washington State,W (45-14),31,48,64.6,399,4,25,48,1.9,1,73,447,6.1,17,5,2,24,5,35,1,2,3
4,2021-09-25,H,Oregon State,L (27-45),31,49,63.3,355,1,22,76,3.5,2,71,431,6.1,14,9,9,32,11,98,1,3,4
5,2021-10-02,@,Colorado,W (37-14),19,29,65.5,276,3,34,221,6.5,1,63,497,7.9,10,9,1,20,12,125,1,0,1
6,2021-10-09,H,Utah,L (26-42),33,53,62.3,401,2,25,92,3.7,1,78,493,6.3,22,5,0,27,9,95,0,1,1
7,2021-10-23,@,Notre Dame,L (16-31),27,37,73,299,0,33,129,3.9,2,70,428,6.1,12,12,1,25,9,65,1,1,2
8,2021-10-30,H,Arizona,W (41-34),27,39,69.2,313,4,43,235,5.5,1,82,548,6.7,19,10,6,35,9,100,0,1,1
9,2021-11-06,@,Arizona State,L (16-31),24,45,53.3,220,0,27,92,3.4,1,72,312,4.3,11,5,4,20,5,55,0,2,2
10,2021-11-20,H,UCLA,L (33-62),27,47,57.4,325,1,39,159,4.1,3,86,484,5.6,13,12,2,27,8,78,0,2,2
11,2021-11-27,H,Brigham Young,L (31-35),23,36,63.9,248,1,44,210,4.8,2,80,458,5.7,13,14,1,27,8,64,0,0,0
12,2021-12-04,@,California,L (14-24),25,39,64.1,265,2,40,144,3.6,0,79,409,5.2,13,10,2,25,7,39,2,0,2
1,2020-11-07,H,Arizona State,W (28-27),40,55,72.7,381,2,40,175,4.4,2,95,556,5.9,16,12,0,28,5,59,3,1,4
2,2020-11-14,@,Arizona,W (34-30),30,43,69.8,325,1,32,173,5.4,3,75,498,6.6,15,7,4,26,11,110,0,0,0
3,2020-11-21,@,Utah,W (33-17),24,35,68.6,264,2,31,93,3,1,66,357,5.4,12,5,0,17,5,49,1,1,2
4,2020-12-06,H,Washington State,W (38-13),26,33,78.8,282,5,20,5,0.3,0,53,287,5.4,15,0,0,15,5,50,0,0,0
5,2020-12-12,@,UCLA,W (43-38),30,47,63.8,344,5,33,100,3,1,80,444,5.6,13,9,2,24,5,60,0,2,2
6,2020-12-18,H,Oregon,L (24-31),28,52,53.8,320,2,28,38,1.4,1,80,358,4.5,17,4,4,25,9,98,0,3,3
1,2019-08-31,H,Fresno State,W (31-23),31,42,73.8,272,1,36,175,4.9,2,78,447,5.7,12,11,2,25,4,35,2,2,4
2,2019-09-07,H,Stanford,W (45-20),28,33,84.8,377,3,28,115,4.1,3,61,492,8.1,15,7,1,23,8,93,1,0,1
3,2019-09-14,@,Brigham Young,L (27-30),24,34,70.6,281,2,45,171,3.8,1,79,452,5.7,13,9,0,22,5,44,0,3,3
4,2019-09-20,H,Utah,W (30-23),23,32,71.9,368,3,22,13,0.6,1,54,381,7.1,12,2,2,16,11,117,1,1,2
5,2019-09-28,@,Washington,L (14-28),19,32,59.4,163,1,33,212,6.4,1,65,375,5.8,9,8,1,18,8,80,0,3,3
6,2019-10-12,@,Notre Dame,L (27-30),24,35,68.6,255,2,35,171,4.9,1,70,426,6.1,14,11,0,25,2,44,0,0,0
7,2019-10-19,H,Arizona,W (41-14),21,30,70,247,2,36,201,5.6,3,66,448,6.8,8,8,0,16,10,100,1,0,1
8,2019-10-25,@,Colorado,W (35-31),30,44,68.2,406,4,26,112,4.3,1,70,518,7.4,19,8,3,30,5,50,0,1,1
9,2019-11-02,H,Oregon,L (24-56),32,57,56.1,264,3,25,91,3.6,0,82,355,4.3,16,6,9,31,8,92,1,3,4
10,2019-11-09,@,Arizona State,W (31-26),33,45,73.3,477,4,28,70,2.5,0,73,547,7.5,17,4,2,23,11,93,1,1,2
11,2019-11-16,@,California,W (41-17),29,35,82.9,406,4,27,56,2.1,1,62,462,7.5,12,5,1,18,8,75,1,0,1
12,2019-11-23,H,UCLA,W (52-35),37,47,78.7,515,4,32,128,4,3,79,643,8.1,22,9,3,34,7,57,1,0,1
13,2019-12-27,N,Iowa*,L (24-49),34,48,70.8,334,2,18,22,1.2,1,66,356,5.4,14,4,2,20,3,21,2,1,3
1,2018-09-01,H,Nevada-Las Vegas,W (43-21),22,35,62.9,282,1,38,219,5.8,3,73,501,6.9,11,10,2,23,6,58,0,0,0
2,2018-09-08,@,Stanford,L (3-17),17,36,47.2,218,0,37,114,3.1,0,73,332,4.5,9,11,0,20,4,35,0,2,2
3,2018-09-15,@,Texas,L (14-37),30,48,62.5,322,0,16,-5,-0.3,2,64,317,5,13,2,1,16,10,99,0,1,1
4,2018-09-21,H,Washington State,W (39-36),17,26,65.4,241,3,31,113,3.6,2,57,354,6.2,10,6,7,23,8,65,0,0,0
5,2018-09-29,@,Arizona,W (24-20),16,24,66.7,197,0,47,253,5.4,3,71,450,6.3,7,9,2,18,18,169,3,0,3
6,2018-10-13,H,Colorado,W (31-20),17,34,50,272,3,27,62,2.3,0,61,334,5.5,8,6,2,16,13,123,1,2,3
7,2018-10-20,@,Utah,L (28-41),12,23,52.2,132,2,31,73,2.4,1,54,205,3.8,5,3,2,10,2,20,0,2,2
8,2018-10-27,H,Arizona State,L (35-38),21,30,70,271,3,33,149,4.5,1,63,420,6.7,11,6,2,19,7,73,1,0,1
9,2018-11-03,@,Oregon State,W (38-21),14,26,53.8,177,1,44,332,7.5,4,70,509,7.3,11,12,2,25,6,52,1,0,1
10,2018-11-10,H,California,L (14-15),21,34,61.8,180,2,38,97,2.6,0,72,277,3.8,11,6,1,18,5,55,1,1,2
11,2018-11-17,@,UCLA,L (27-34),20,34,58.8,337,2,27,112,4.1,0,61,449,7.4,12,6,1,19,9,63,0,2,2
