Rk,Date,raw_location,Opponent,Result,Temp (F),Precipitation (in),Windspeed (mph),Altitude,Distance
1,2023-08-26,H,San Jose State,W (56-28),73.2,0,7.2,51,0
2,2023-09-02,H,Nevada,W (66-14),73.4,0.03,6.6,51,0
3,2023-09-09,H,Stanford,W (56-10),78.1,0,12.4,51,0
4,2023-09-23,@,Arizona State,W (42-28),85.5,0,6.5,366,377.2
5,2023-09-30,@,Colorado,W (48-41),64.5,0,10.1,"1,655",834.53
6,2023-10-07,H,Arizona,W (43-41),73.2,0,6.1,51,0
7,2023-10-14,@,Notre Dame,L (20-48),51.5,1.284,22.7,221,1825.61
8,2023-10-21,H,Utah,L (32-34),70.2,0,14.7,51,0
9,2023-10-28,@,California,W (50-49),54.7,0,11.3,102,338.2
10,2023-11-04,H,Washington,L (42-52),64.5,0,5.9,51,0
11,2023-11-11,@,Oregon,L (27-36),51.4,0.004,24.1,131,732.25
12,2023-11-18,H,UCLA,L (20-38),65.3,0.004,5.6,51,0
13,2023-12-27,N,Louisville*,W (42-28),58,0,9.3,19,111
1,2022-09-03,H,Rice,W (66-14),83.5,0,11,51,0
2,2022-09-10,@,Stanford,W (41-28),81.8,0.035,15.4,30,312.15
3,2022-09-17,H,Fresno State,W (45-17),70.3,0,10.4,51,0
4,2022-09-24,@,Oregon State,W (17-14),63.2,0,10.2,70,768.56
5,2022-10-01,H,Arizona State,W (42-25),68.7,0,9.3,51,0
6,2022-10-08,H,Washington State,W (30-14),69.7,0,11.2,51,0
7,2022-10-15,@,Utah,L (42-43),59.5,0,12.5,"1,430",586.62
8,2022-10-29,@,Arizona,W (45-37),65,0,13.1,728,452.59
9,2022-11-05,H,California,W (41-35),58.3,0,6.7,51,0
10,2022-11-11,H,Colorado,W (55-17),58.9,0,7.1,51,0
11,2022-11-19,@,UCLA,W (48-45),60.9,0,2.6,88,9.78
12,2022-11-26,H,Notre Dame,W (38-27),58.6,0,3.4,51,0
13,2022-12-02,N,Utah,L (24-47),56.5,0,25.9,609.9,228
14,2023-01-02,N,Tulane*,L (45-46),70,0,0,184,1223
1,2021-09-04,H,San Jose State,W (30-7),73,0,8.6,51,0
2,2021-09-11,H,Stanford,L (28-42),74.9,0,7.6,51,0
3,2021-09-18,@,Washington State,W (45-14),56.3,0.203,14.9,768,878.95
4,2021-09-25,H,Oregon State,L (27-45),66.2,0,8.8,51,0
5,2021-10-02,@,Colorado,W (37-14),59.3,0,5.4,"1,655",834.53
6,2021-10-09,H,Utah,L (26-42),63.7,0,13.8,51,0
7,2021-10-23,@,Notre Dame,L (16-31),46.8,0.049,10.3,221,1825.61
8,2021-10-30,H,Arizona,W (41-34),62.2,0,8.1,51,0
9,2021-11-06,@,Arizona State,L (16-31),74.8,0,7.4,366,377.2
10,2021-11-20,H,UCLA,L (33-62),58.8,0,5.5,51,0
11,2021-11-27,H,Brigham Young,L (31-35),62.1,0,8.1,51,0
12,2021-12-04,@,California,L (14-24),54.2,0,10.1,102,338.2
1,2020-11-07,H,Arizona State,W (28-27),57,0.098,9.2,51,0
2,2020-11-14,@,Arizona,W (34-30),57.8,0,10.2,728,452.59
3,2020-11-21,@,Utah,W (33-17),35.3,0,12.5,"1,430",586.62
4,2020-12-06,H,Washington State,W (38-13),57.2,0,7.1,51,0
5,2020-12-12,@,UCLA,W (43-38),57.1,0,6.7,88,9.78
6,2020-12-18,H,Oregon,L (24-31),56.5,0,5.2,51,0
1,2019-08-31,H,Fresno State,W (31-23),76.4,0,9.9,51,0
2,2019-09-07,H,Stanford,W (45-20),77.8,0,10.7,51,0
3,2019-09-14,@,Brigham Young,L (27-30),66,0,14.9,"1,387",564.23
4,2019-09-20,H,Utah,W (30-23),72,0,10.2,51,0
5,2019-09-28,@,Washington,L (14-28),52.2,0.045,11.6,5,963.28
6,2019-10-12,@,Notre Dame,L (27-30),43.6,0.001,24,221,1825.61
7,2019-10-19,H,Arizona,W (41-14),68.5,0,7.4,51,0
8,2019-10-25,@,Colorado,W (35-31),46.4,0,9.2,"1,655",834.53
9,2019-11-02,H,Oregon,L (24-56),66.6,0,4.1,51,0
10,2019-11-09,@,Arizona State,W (31-26),73.7,0,13.6,366,377.2
11,2019-11-16,@,California,W (41-17),57.6,0,6.6,102,338.2
12,2019-11-23,H,UCLA,W (52-35),64.4,0,4.1,51,0
13,2019-12-27,N,Iowa*,L (24-49),52.7,0,7.9,19,111
1,2018-09-01,H,Nevada-Las Vegas,W (43-21),72.3,0,7.3,51,0
2,2018-09-08,@,Stanford,L (3-17),65.8,0,16,30,312.15
3,2018-09-15,@,Texas,L (14-37),77.5,0.158,12.7,149,1229.62
4,2018-09-21,H,Washington State,W (39-36),71.1,0,7.2,51,0
5,2018-09-29,@,Arizona,W (24-20),83.7,0,12,728,452.59
6,2018-10-13,H,Colorado,W (31-20),65.5,0.191,7.7,51,0
7,2018-10-20,@,Utah,L (28-41),53.5,0,10.5,"1,430",586.62
8,2018-10-27,H,Arizona State,L (35-38),66.7,0,7.3,51,0
9,2018-11-03,@,Oregon State,W (38-21),50.4,0,8.1,70,768.56
10,2018-11-10,H,California,L (14-15),63,0,8.2,51,0
11,2018-11-17,@,UCLA,L (27-34),62.7,0,7.1,88,9.78
12,2018-11-24,H,Notre Dame,L (17-24),62.1,0,5.1,51,0
1,2017-09-02,H,Western Michigan,W (49-31),86.6,0,6.8,51,0
2,2017-09-09,H,Stanford,W (42-24),72.6,0,10.8,51,0
3,2017-09-16,H,Texas,W (27-24),70.4,0,11.1,51,0
4,2017-09-23,@,California,W (30-20),63.1,0,16.7,102,338.2
5,2017-09-29,@,Washington State,L (27-30),64.1,0,17.2,768,878.95
6,2017-10-07,H,Oregon State,W (38-10),76.5,0,6.7,51,0
7,2017-10-14,H,Utah,W (28-27),70.4,0,7,51,0
8,2017-10-21,@,Notre Dame,L (14-49),64.2,0,17.1,221,1825.61
9,2017-10-28,@,Arizona State,W (48-17),77.3,0,10.6,366,377.2
10,2017-11-04,H,Arizona,W (49-35),63.9,0,8.9,51,0
11,2017-11-11,@,Colorado,W (38-24),44.6,0,7,"1,655",834.53
12,2017-11-18,H,UCLA,W (28-23),64.6,0,6.8,51,0
13,2017-12-01,H,Stanford,W (31-28),61.1,0,6.6,51,0
14,2017-12-29,@,Ohio State*,L (7-24),70,0,0,235,1979.17
1,2016-09-03,N,Alabama,L (6-52),70,0,0,184,1223
2,2016-09-10,H,Utah State,W (45-7),69.3,0,8.2,51,0
3,2016-09-17,@,Stanford,L (10-27),64.1,0,12.2,30,312.15
4,2016-09-23,@,Utah,L (27-31),48.9,0.616,14.6,"1,430",586.62
5,2016-10-01,H,Arizona State,W (41-20),71.6,0,7.6,51,0
6,2016-10-08,H,Colorado,W (21-17),73.1,0,9.1,51,0
7,2016-10-15,@,Arizona,W (48-14),63.4,0,19.7,728,452.59
8,2016-10-27,H,California,W (45-24),68.2,0,4.2,51,0
