Rk,Date,,Opponent,Result
1,2023-09-02,,Boise State,W (56-19)
2,2023-09-09,,Tulsa,W (43-10)
3,2023-09-16,@,Michigan State,W (41-7)
4,2023-09-23,,California,W (59-32)
5,2023-09-30,@,Arizona,W (31-24)
6,2023-10-14,,Oregon,W (36-33)
7,2023-10-21,,Arizona State,W (15-7)
8,2023-10-28,@,Stanford,W (42-33)
9,2023-11-04,@,Southern California,W (52-42)
10,2023-11-11,,Utah,W (35-28)
11,2023-11-18,@,Oregon State,W (22-20)
12,2023-11-25,,Washington State,W (24-21)
13,2023-12-01,N,Oregon,W (34-31)
14,2024-01-01,N,Texas*,W (37-31)
15,2024-01-08,N,Michigan*,L (13-34)
1,2022-09-03,,Kent State,W (45-20)
2,2022-09-10,,Portland State,W (52-6)
3,2022-09-17,,Michigan State,W (39-28)
4,2022-09-24,,Stanford,W (40-22)
5,2022-09-30,@,UCLA,L (32-40)
6,2022-10-08,@,Arizona State,L (38-45)
7,2022-10-15,,Arizona,W (49-39)
8,2022-10-22,@,California,W (28-21)
9,2022-11-04,,Oregon State,W (24-21)
10,2022-11-12,@,Oregon,W (37-34)
11,2022-11-19,,Colorado,W (54-7)
12,2022-11-26,@,Washington State,W (51-33)
13,2022-12-29,N,Texas*,W (27-20)
1,2021-09-04,,Montana,L (7-13)
2,2021-09-11,@,Michigan,L (10-31)
3,2021-09-18,,Arkansas State,W (52-3)
4,2021-09-25,,California,W (31-24)
5,2021-10-02,@,Oregon State,L (24-27)
6,2021-10-16,,UCLA,L (17-24)
7,2021-10-22,@,Arizona,W (21-16)
8,2021-10-30,@,Stanford,W (20-13)
9,2021-11-06,,Oregon,L (16-26)
10,2021-11-13,,Arizona State,L (30-35)
11,2021-11-20,@,Colorado,L (17-20)
12,2021-11-26,,Washington State,L (13-40)
1,2020-11-14,,Oregon State,W (27-21)
2,2020-11-21,,Arizona,W (44-27)
3,2020-11-28,,Utah,W (24-21)
4,2020-12-05,,Stanford,L (26-31)
1,2019-08-31,,Eastern Washington,W (47-14)
2,2019-09-07,,California,L (19-20)
3,2019-09-14,,Hawaii,W (52-20)
4,2019-09-21,@,Brigham Young,W (45-19)
5,2019-09-28,,Southern California,W (28-14)
6,2019-10-05,@,Stanford,L (13-23)
7,2019-10-12,@,Arizona,W (51-27)
8,2019-10-19,,Oregon,L (31-35)
9,2019-11-02,,Utah,L (28-33)
10,2019-11-08,@,Oregon State,W (19-7)
11,2019-11-23,@,Colorado,L (14-20)
12,2019-11-29,,Washington State,W (31-13)
13,2019-12-21,N,Boise State*,W (38-7)
1,2018-09-01,N,Auburn,L (16-21)
2,2018-09-08,,North Dakota,W (45-3)
3,2018-09-15,@,Utah,W (21-7)
4,2018-09-22,,Arizona State,W (27-20)
5,2018-09-29,,Brigham Young,W (35-7)
6,2018-10-06,@,UCLA,W (31-24)
7,2018-10-13,@,Oregon,L (27-30)
8,2018-10-20,,Colorado,W (27-13)
9,2018-10-27,@,California,L (10-12)
10,2018-11-03,,Stanford,W (27-23)
11,2018-11-17,,Oregon State,W (42-23)
12,2018-11-23,@,Washington State,W (28-15)
13,2018-11-30,N,Utah,W (10-3)
14,2019-01-01,N,Ohio State*,L (23-28)
1,2017-09-01,@,Rutgers,W (30-14)
2,2017-09-09,,Montana,W (63-7)
3,2017-09-16,,Fresno State,W (48-16)
4,2017-09-23,@,Colorado,W (37-10)
5,2017-09-30,@,Oregon State,W (42-7)
6,2017-10-07,,California,W (38-7)
7,2017-10-14,@,Arizona State,L (7-13)
8,2017-10-28,,UCLA,W (44-23)
9,2017-11-04,,Oregon,W (38-3)
10,2017-11-10,@,Stanford,L (22-30)
11,2017-11-18,,Utah,W (33-30)
12,2017-11-25,,Washington State,W (41-14)
13,2017-12-30,@,Penn State*,L (28-35)
1,2016-09-03,,Rutgers,W (48-13)
2,2016-09-10,,Idaho,W (59-14)
3,2016-09-17,,Portland State,W (41-3)
4,2016-09-24,@,Arizona,W (35-28)
5,2016-09-30,,Stanford,W (44-6)
6,2016-10-08,@,Oregon,W (70-21)
7,2016-10-22,,Oregon State,W (41-17)
8,2016-10-29,@,Utah,W (31-24)
9,2016-11-05,@,California,W (66-27)
10,2016-11-12,,Southern California,L (13-26)
11,2016-11-19,,Arizona State,W (44-18)
12,2016-11-25,@,Washington State,W (45-17)
13,2016-12-02,N,Colorado,W (41-10)
14,2016-12-31,N,Alabama*,L (7-24)
