Rk,Date,raw_location,Opponent,Result,pass_cmp,pass_att,completion_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_tds,total_plays,total_yards,avg_yds,pass_first_downs,rush_first_downs,first_down_pens,total_first_downs,total_penalties,total_penalties_yds,total_fum,total_int,total_to
1,2023-09-02,H,Boise State,W (56-19),31,42,73.8,490,6,19,78,4.1,2,61,568,9.3,18,3,1,22,5,60,0,0,0
2,2023-09-09,H,Tulsa,W (43-10),30,40,75,454,3,22,109,5,3,62,563,9.1,20,6,5,31,7,93,1,1,2
3,2023-09-16,@,Michigan State,W (41-7),29,39,74.4,536,4,33,177,5.4,1,72,713,9.9,18,8,3,29,11,110,0,1,1
4,2023-09-23,H,California,W (59-32),23,32,71.9,389,4,30,140,4.7,2,62,529,8.5,15,8,0,23,9,83,0,1,1
5,2023-09-30,@,Arizona,W (31-24),30,40,75,363,0,26,111,4.3,4,66,474,7.2,17,8,2,27,12,125,1,0,1
6,2023-10-14,H,Oregon,W (36-33),23,38,60.5,316,4,23,99,4.3,1,61,415,6.8,16,6,2,24,5,45,0,1,1
7,2023-10-21,H,Arizona State,W (15-7),27,42,64.3,275,0,13,13,1,0,55,288,5.2,11,3,3,17,5,51,2,2,4
8,2023-10-28,@,Stanford,W (42-33),21,37,56.8,369,4,27,91,3.4,2,64,460,7.2,14,6,3,23,7,78,1,1,2
9,2023-11-04,@,Southern California,W (52-42),22,30,73.3,256,2,42,316,7.5,5,72,572,7.9,15,10,2,27,6,52,0,1,1
10,2023-11-11,H,Utah,W (35-28),24,42,57.1,332,2,33,125,3.8,2,75,457,6.1,14,9,4,27,11,100,1,0,1
11,2023-11-18,@,Oregon State,W (22-20),13,28,46.4,162,2,25,110,4.4,1,53,272,5.1,8,5,1,14,10,64,1,0,1
12,2023-11-25,H,Washington State,W (24-21),18,33,54.5,204,2,30,102,3.4,1,63,306,4.9,7,8,2,17,7,49,0,1,1
