Rk,Date,raw_location,Opponent,Result,Temp (F),Precipitation (in),Windspeed (mph),Altitude,Distance
1,2023-09-02,H,Boise State,W (56-19),65.7,0,5.8,53,0
2,2023-09-09,H,Tulsa,W (43-10),67.7,0,10.2,53,0
3,2023-09-16,@,Michigan State,W (41-7),61.4,0,8.9,262,1859.35
4,2023-09-23,H,California,W (59-32),56.3,0,17.1,53,0
5,2023-09-30,@,Arizona,W (31-24),82.5,0,22.7,728,1219.94
6,2023-10-14,H,Oregon,W (36-33),55.6,0,9.1,53,0
7,2023-10-21,H,Arizona State,W (15-7),57.8,0,6.9,53,0
8,2023-10-28,@,Stanford,W (42-33),57.3,0,14.7,30,705.13
9,2023-11-04,@,Southern California,W (52-42),64.5,0,5.9,21,963.81
10,2023-11-11,H,Utah,W (35-28),44.6,0.043,26.4,53,0
11,2023-11-18,@,Oregon State,W (22-20),43,0.315,13.8,72,218.28
12,2023-11-25,H,Washington State,W (24-21),26.4,0,9,53,0
13,2023-12-01,N,Oregon,W (34-31),51.7,0,20.9,610,871
14,2024-01-01,N,Texas*,W (37-31),55.2,0,17.2,-0.6,2101
15,2024-01-08,N,Michigan*,L (13-34),60.9,0.49,27.4,-0.6,2101
1,2022-09-03,H,Kent State,W (45-20),67.9,0.031,13.6,53,0
2,2022-09-10,H,Portland State,W (52-6),71.3,0,15.9,53,0
3,2022-09-17,H,Michigan State,W (39-28),67.9,0,19.4,53,0
4,2022-09-24,H,Stanford,W (40-22),56.4,0,13.8,53,0
5,2022-09-30,@,UCLA,L (32-40),58.8,0,17.5,104,958.37
6,2022-10-08,@,Arizona State,L (38-45),79.1,0,13,355,1120.83
7,2022-10-15,H,Arizona,W (49-39),57.2,0,18.1,53,0
8,2022-10-22,@,California,W (28-21),62.6,0,22.5,89,674.97
9,2022-11-04,H,Oregon State,W (24-21),39.7,1.754,37.7,53,0
10,2022-11-12,@,Oregon,W (37-34),41.7,0.002,8.9,131,250.8
11,2022-11-19,H,Colorado,W (54-7),26.6,0,15.9,53,0
