,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,,,
Rk,Date,,Opponent,,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,2023-09-02,,Boise State,W (56-19),22,47,46.8,264,1,28,138,4.9,1,75,402,5.4,10,8,3,21,3,29,0,2,2
2,2023-09-09,,Tulsa,W (43-10),18,32,56.3,150,1,40,168,4.2,0,72,318,4.4,9,9,4,22,7,65,0,1,1
3,2023-09-16,@,Michigan State,W (41-7),14,35,40,208,0,27,53,2,1,62,261,4.2,8,4,3,15,11,83,0,1,1
4,2023-09-23,,California,W (59-32),27,46,58.7,363,3,35,139,4,2,81,502,6.2,17,7,4,28,2,10,0,3,3
5,2023-09-30,@,Arizona,W (31-24),27,39,69.2,232,3,31,110,3.5,0,70,342,4.9,13,8,6,27,8,60,0,1,1
6,2023-10-14,,Oregon,W (36-33),33,44,75,337,2,40,204,5.1,2,84,541,6.4,17,12,3,32,5,55,0,0,0
7,2023-10-21,,Arizona State,W (15-7),26,47,55.3,196,0,31,145,4.7,1,78,341,4.4,8,10,2,20,7,71,0,1,1
8,2023-10-28,@,Stanford,W (42-33),31,49,63.3,367,1,35,128,3.7,3,84,495,5.9,15,7,4,26,8,74,0,0,0
9,2023-11-04,@,Southern California,W (52-42),27,36,75,312,3,27,203,7.5,3,63,515,8.2,11,12,1,24,6,65,1,0,1
10,2023-11-11,,Utah,W (35-28),17,30,56.7,267,2,27,115,4.3,2,57,382,6.7,6,8,3,17,8,97,0,2,2
11,2023-11-18,@,Oregon State,W (22-20),16,33,48.5,169,0,40,148,3.7,2,73,317,4.3,9,12,1,22,8,65,1,2,3
12,2023-11-25,,Washington State,W (24-21),32,49,65.3,317,3,27,64,2.4,0,76,381,5,15,4,3,22,10,85,0,2,2
13,2023-12-01,N,Oregon,W (34-31),21,34,61.8,239,3,20,124,6.2,1,54,363,6.7,11,5,1,17,2,21,0,1,1
14,2024-01-01,N,Texas*,W (37-31),24,43,55.8,318,1,28,180,6.4,3,71,498,7,13,8,2,23,10,66,2,0,2
15,2024-01-08,N,Michigan*,L (13-34),10,19,52.6,140,0,38,303,8,4,57,443,7.8,6,10,0,16,5,45,0,0,0
1,2022-09-03,,Kent State,W (45-20),14,29,48.3,193,1,39,147,3.8,1,68,340,5,9,8,2,19,7,70,0,3,3
2,2022-09-10,,Portland State,W (52-6),7,20,35,50,0,31,81,2.6,0,51,131,2.6,2,5,5,12,6,26,0,0,0
3,2022-09-17,,Michigan State,W (39-28),30,42,71.4,323,3,29,42,1.4,1,71,365,5.1,15,5,1,21,7,60,0,1,1
4,2022-09-24,,Stanford,W (40-22),17,26,65.4,286,3,36,86,2.4,0,62,372,6,11,6,1,18,2,23,2,1,3
5,2022-09-30,@,UCLA,L (32-40),24,33,72.7,315,3,39,184,4.7,2,72,499,6.9,16,9,2,27,7,39,0,0,0
